cell,batchsize,mse,nse,y_test,yhat
5,5,0.002898841540454293,0.9272578123320515,"[0.031  0.0007 0.     0.0454 0.0112 0.2245 0.5862 0.4692 0.3521 0.0189
 0.001  0.0445]","[0.03827347 0.0196997  0.0077612  0.03131243 0.03934917 0.20160921
 0.4863084  0.55565965 0.38011774 0.12947325 0.02331909 0.00167521]"
6,5,0.004451964821312873,0.861453464060634,"[2.170e-02 6.000e-04 5.000e-04 3.310e-02 1.700e-02 1.738e-01 5.340e-01
 4.262e-01 3.183e-01 3.160e-02 8.400e-03 5.450e-02]","[ 0.01607072 -0.01622951  0.00721285  0.04787002  0.04263045  0.1853057
  0.45409518  0.55109143  0.42839018  0.15475328  0.05682232  0.03347164]"
7,5,0.01980811212101689,0.7851241669674416,"[2.270e-02 5.000e-04 9.000e-04 1.650e-02 2.200e-03 2.259e-01 1.000e+00
 6.403e-01 2.807e-01 4.380e-02 5.200e-03 5.850e-02]","[ 9.3964972e-03 -5.6483224e-04  2.9189114e-02  6.9155224e-02
  3.5404507e-02  2.2828344e-01  5.7047743e-01  6.4730436e-01
  4.5429823e-01  1.6222499e-01  6.6542745e-02  7.7883065e-02]"
48,2,0.03560820249091283,0.6213081427790971,"[2.180e-02 3.000e-04 2.000e-04 1.760e-02 1.520e-02 1.140e-01 9.331e-01
 6.948e-01 4.566e-01 2.640e-02 2.500e-03 4.120e-02]","[ 9.8385140e-03  1.1743546e-02  1.1643600e-02  5.8131143e-03
 -1.7856061e-04  1.1567919e-01  3.4907743e-01  4.8030260e-01
  3.7968245e-01  1.8532620e-01  9.1855511e-02  2.4907529e-02]"
49,2,0.029259790382855075,0.6158631863237224,"[0.0181 0.0009 0.     0.0313 0.0129 0.1227 0.8393 0.6411 0.4429 0.0706
 0.0225 0.0476]","[0.03093579 0.0219266  0.00893195 0.00732466 0.03886563 0.06974227
 0.28535455 0.4827081  0.4057049  0.17953742 0.03921842 0.01754366]"
50,5,0.03143244489711586,0.5993363421213721,"[1.330e-02 3.000e-04 1.100e-03 3.010e-02 9.700e-03 2.483e-01 9.212e-01
 6.072e-01 2.931e-01 1.332e-01 4.400e-03 4.820e-02]","[ 0.01767865  0.00931603 -0.00597032 -0.01056196  0.00255033  0.09226605
  0.35066107  0.45905653  0.30525696  0.11832358  0.0468551   0.0113885 ]"
91,1,0.03763571759008088,0.6380334640725494,"[1.930e-02 3.000e-04 4.000e-04 7.100e-03 8.500e-03 1.126e-01 1.000e+00
 7.160e-01 4.320e-01 3.470e-02 3.000e-03 3.360e-02]","[-0.00173361  0.00684421  0.02204937  0.01648107  0.02288075  0.13361758
  0.38580453  0.48817948  0.34832993  0.13559788  0.06265915  0.0413193 ]"
92,1,0.014702149800512106,0.7369253962188703,"[2.420e-02 6.000e-04 3.000e-04 2.040e-02 1.380e-02 1.279e-01 7.240e-01
 5.456e-01 3.671e-01 5.540e-02 1.030e-02 3.210e-02]","[ 0.04433669  0.01247401  0.01611058  0.00093004  0.01344718  0.07309887
  0.32853398  0.4513032   0.3636385   0.12980837  0.01884256 -0.00450814]"
93,3,0.026173522607221625,0.5624165886669861,"[1.700e-02 1.000e-04 3.000e-04 4.080e-02 6.200e-03 2.091e-01 8.081e-01
 5.268e-01 2.455e-01 8.240e-02 8.200e-03 3.620e-02]","[0.03854011 0.01611156 0.01683609 0.02936615 0.03461842 0.09017371
 0.28071052 0.4198283  0.33155298 0.11000806 0.01875304 0.02414257]"
