cell,batchsize,mse,nse,y_test,yhat
1941,6,0.09730962088521068,-0.18722857324030562,"[0.1652 0.2987 0.8364 0.8593 0.9038 0.059  0.363  0.6487 0.0971 0.2813
 0.4217 0.5066]","[0.23554914 0.2956948  0.33470675 0.3384838  0.38786602 0.33897
 0.32688898 0.22389175 0.21749434 0.18079369 0.3487814  0.2175304 ]"
1942,1,0.08535781611794174,-0.23812021721177912,"[0.185  0.334  0.7063 0.6812 1.     0.0827 0.3363 0.6214 0.1029 0.3085
 0.3538 0.4411]","[0.2309166  0.19916251 0.27489832 0.3648914  0.41854057 0.31966823
 0.17248452 0.10001285 0.06562471 0.16237159 0.3462055  0.39509946]"
1943,3,0.05520385763003884,0.04541415652971703,"[0.1294 0.4354 0.6528 0.6165 0.7139 0.0903 0.0847 0.6823 0.0363 0.3162
 0.3766 0.3326]","[0.25800633 0.29827976 0.35401782 0.35583693 0.284137   0.17171082
 0.07873078 0.21750827 0.28463158 0.29819041 0.3973155  0.34130257]"
1984,8,0.06509920348089797,0.09890262308131248,"[0.251  0.4447 0.4452 0.9099 1.     0.611  0.3678 0.2457 0.0816 0.3346
 0.2851 0.1909]","[0.1368526  0.21025863 0.32631236 0.39496595 0.43790293 0.3472415
 0.40556908 0.27693576 0.24836622 0.21359995 0.2688069  0.13375619]"
1985,1,0.06135807113849814,-0.6415279931516522,"[0.2171 0.3914 0.5322 0.7941 0.6244 0.4547 0.3082 0.485  0.058  0.316
 0.346  0.1833]","[0.21915671 0.14762318 0.19487166 0.3194958  0.29813313 0.24500373
 0.20048077 0.16823384 0.19261129 0.20425013 0.17693438 0.05575515]"
1986,4,0.051488290475022756,-0.2988717070814748,"[0.2127 0.309  0.6831 0.7852 0.5507 0.3163 0.4378 0.5049 0.0561 0.3064
 0.3809 0.2145]","[0.20342773 0.17420837 0.314554   0.30430162 0.34198594 0.27946535
 0.34112012 0.24965955 0.29350248 0.2789226  0.1904381  0.07410195]"
2027,5,0.09431452666683215,-0.30358330226048214,"[0.1415 0.2889 0.8899 0.6232 1.     0.3037 0.1351 0.4381 0.2228 0.2358
 0.5186 0.4531]","[0.36957696 0.37140742 0.36180282 0.33081406 0.2515374  0.15770425
 0.1364739  0.19088179 0.28051755 0.21207905 0.31338042 0.31191656]"
2028,8,0.07623983721474244,-0.08573705295738243,"[0.2088 0.4269 0.9695 0.7858 1.     0.3468 0.2444 0.5117 0.2403 0.3047
 0.558  0.4484]","[0.4279016  0.451501   0.53344715 0.48693633 0.4127648  0.2672268
 0.10826333 0.07064929 0.20986004 0.2158017  0.49211788 0.35144755]"
2029,1,0.07346089598754739,0.04710074257864516,"[0.2069 0.5788 0.8927 0.9085 0.8667 0.3861 0.1992 0.1959 0.1048 0.3511
 0.5393 0.3807]","[0.18812308 0.25450605 0.42653063 0.40906495 0.40519136 0.2760527
 0.27334768 0.18806422 0.1558811  0.17464904 0.33417958 0.4334622 ]"
