cell,batchsize,mse,nse,y_test,yhat
1941,2,0.10721582056785937,-0.30808942141212303,"[0.1652 0.2987 0.8364 0.8593 0.9038 0.059  0.363  0.6487 0.0971 0.2813
 0.4217 0.5066]","[0.13496475 0.17921585 0.2883286  0.34434623 0.29314616 0.21966098
 0.20624281 0.24430875 0.15146235 0.16832736 0.23311923 0.24632397]"
1942,1,0.07640250643268691,-0.10822291574630882,"[0.185  0.334  0.7063 0.6812 1.     0.0827 0.3363 0.6214 0.1029 0.3085
 0.3538 0.4411]","[0.24239674 0.16410445 0.34478223 0.4359839  0.36582738 0.30686167
 0.18216386 0.17707062 0.018027   0.23630115 0.36439085 0.35331059]"
1943,2,0.05727954397395643,0.009521360546739577,"[0.1294 0.4354 0.6528 0.6165 0.7139 0.0903 0.0847 0.6823 0.0363 0.3162
 0.3766 0.3326]","[0.17963007 0.23651093 0.31976217 0.34234458 0.29699662 0.2028251
 0.15421881 0.20021644 0.20143476 0.2580921  0.32351947 0.28756765]"
1984,2,0.08353608115961762,-0.15629899577935213,"[0.251  0.4447 0.4452 0.9099 1.     0.611  0.3678 0.2457 0.0816 0.3346
 0.2851 0.1909]","[0.14879707 0.1679064  0.22111982 0.35489613 0.377109   0.3246089
 0.199734   0.19334786 0.25048736 0.18969798 0.2075888  0.2154783 ]"
1985,6,0.05315406573814452,-0.4220441620799471,"[0.2171 0.3914 0.5322 0.7941 0.6244 0.4547 0.3082 0.485  0.058  0.316
 0.346  0.1833]","[0.19292963 0.16145648 0.25443545 0.2583452  0.33113062 0.28197744
 0.34364638 0.23982099 0.22202982 0.24993148 0.24861571 0.13596648]"
1986,8,0.05828022110128872,-0.4702086546772888,"[0.2127 0.309  0.6831 0.7852 0.5507 0.3163 0.4378 0.5049 0.0561 0.3064
 0.3809 0.2145]","[0.17101498 0.14685562 0.24060789 0.2679832  0.29406002 0.2826619
 0.3632835  0.2607917  0.26006186 0.29602367 0.22642282 0.11294589]"
2027,6,0.096416811123913,-0.3326403628396357,"[0.1415 0.2889 0.8899 0.6232 1.     0.3037 0.1351 0.4381 0.2228 0.2358
 0.5186 0.4531]","[0.36877686 0.3546693  0.32935053 0.29152268 0.2575194  0.16418305
 0.10883933 0.17732468 0.21119547 0.24153605 0.3677727  0.33291867]"
2028,5,0.07985108094199779,-0.13716503687210801,"[0.2088 0.4269 0.9695 0.7858 1.     0.3468 0.2444 0.5117 0.2403 0.3047
 0.558  0.4484]","[0.44692075 0.5083025  0.48346305 0.44376042 0.4101797  0.22725107
 0.09909791 0.16197816 0.24849658 0.26432627 0.3749366  0.41916475]"
2029,1,0.0706119120733914,0.08405638570971741,"[0.2069 0.5788 0.8927 0.9085 0.8667 0.3861 0.1992 0.1959 0.1048 0.3511
 0.5393 0.3807]","[0.3869612  0.31255758 0.3959339  0.41847968 0.49959576 0.30827367
 0.18915732 0.16966712 0.30161673 0.31758773 0.29672858 0.25098053]"
