cell,batchsize,mse,nse,y_test,yhat
1941,4,0.1239584140395379,-0.5123578707072982,"[0.1652 0.2987 0.8364 0.8593 0.9038 0.059  0.363  0.6487 0.0971 0.2813
 0.4217 0.5066]","[0.20563766 0.18151593 0.2080956  0.27261245 0.27968076 0.24940369
 0.22293246 0.17627616 0.21910419 0.15772831 0.34076393 0.33963373]"
1942,1,0.08024825485703671,-0.16400572616777875,"[0.185  0.334  0.7063 0.6812 1.     0.0827 0.3363 0.6214 0.1029 0.3085
 0.3538 0.4411]","[0.19974184 0.20721702 0.32603052 0.39315173 0.39007938 0.36832237
 0.30142024 0.22530898 0.15782414 0.03601123 0.22044244 0.32987002]"
1943,3,0.06033576243446542,-0.043326809892837215,"[0.1294 0.4354 0.6528 0.6165 0.7139 0.0903 0.0847 0.6823 0.0363 0.3162
 0.3766 0.3326]","[0.22865938 0.2347166  0.32193202 0.34982887 0.30124298 0.2376367
 0.17384803 0.20936319 0.23852521 0.17382991 0.2879723  0.35879385]"
1984,2,0.0868197055884749,-0.2017506326875924,"[0.251  0.4447 0.4452 0.9099 1.     0.611  0.3678 0.2457 0.0816 0.3346
 0.2851 0.1909]","[0.04791487 0.14983948 0.19068068 0.36901686 0.39734215 0.26819533
 0.21908422 0.20786308 0.1915721  0.14614737 0.21977863 0.2043471 ]"
1985,5,0.06665118901906504,-0.7831361143129201,"[0.2171 0.3914 0.5322 0.7941 0.6244 0.4547 0.3082 0.485  0.058  0.316
 0.346  0.1833]","[0.15329835 0.1703693  0.1768079  0.20899838 0.28810304 0.24464571
 0.25319153 0.20251319 0.17226371 0.19515438 0.2552582  0.23130506]"
1986,2,0.057746888882393356,-0.45675452514206527,"[0.2127 0.309  0.6831 0.7852 0.5507 0.3163 0.4378 0.5049 0.0561 0.3064
 0.3809 0.2145]","[0.06456106 0.11903124 0.17831822 0.32712746 0.36835206 0.33307645
 0.3082938  0.2464066  0.20934863 0.25221467 0.2439945  0.1250178 ]"
2027,5,0.096374449658664,-0.3320548570781219,"[0.1415 0.2889 0.8899 0.6232 1.     0.3037 0.1351 0.4381 0.2228 0.2358
 0.5186 0.4531]","[0.39663246 0.3595348  0.35826394 0.28277668 0.24492246 0.1557681
 0.15533632 0.19829915 0.28107113 0.235867   0.36947274 0.34213942]"
2028,6,0.08852612990059432,-0.2607070384642398,"[0.2088 0.4269 0.9695 0.7858 1.     0.3468 0.2444 0.5117 0.2403 0.3047
 0.558  0.4484]","[0.43309444 0.4202692  0.42383274 0.41071793 0.3436919  0.23273112
 0.1864695  0.19232923 0.2898276  0.26693475 0.43590733 0.37336144]"
2029,1,0.07099400868002295,0.07910001310048398,"[0.2069 0.5788 0.8927 0.9085 0.8667 0.3861 0.1992 0.1959 0.1048 0.3511
 0.5393 0.3807]","[0.2437648  0.30246854 0.41817755 0.34985477 0.47393394 0.41235277
 0.33089373 0.21106341 0.17565249 0.21947555 0.35316965 0.29446298]"
