variable,location,complexity,epochs,MSE_avg,NSE_avg,of_train,of_test
NDVI,east,high,50,0.007775942278914066,0.8601527650762262,0,0
NDVI,east,low,50,0.0081899232644608,0.8510790834010652,0,0
NDVI,east,moderate,50,0.0067699885222284335,0.8750869929457232,0,0
NDVI,east,high,100,0.007374330166119488,0.8675109846038126,0,0
NDVI,east,low,100,0.007208652556588779,0.869373559539639,0,0
NDVI,east,moderate,100,0.007041669771180811,0.8708259128443685,0,0
NDVI,east,high,150,0.006299801778310122,0.8871515429581529,0,0
NDVI,east,low,150,0.0074020557440609884,0.8663823957501835,0,0
NDVI,east,moderate,150,0.006047806223146933,0.8904466413884639,0,0
NDVI,west,high,50,0.0030582487857326113,0.9649241084151128,0,0
NDVI,west,low,50,0.004693672157121499,0.9464976780294604,0,0
NDVI,west,moderate,50,0.0046043222389055664,0.946572387840467,0,0
NDVI,west,high,100,0.0023358680341487668,0.9731166034984048,0,0
NDVI,west,low,100,0.0037806363700694113,0.9571629709903022,0,0
NDVI,west,moderate,100,0.0033035374335261,0.9617766992130071,0,0
NDVI,west,high,150,0.0024203738206940557,0.9722616248467136,0,0
NDVI,west,low,150,0.0029214295821664888,0.9668920498888416,0,0
NDVI,west,moderate,150,0.002689701592829722,0.9691111915649064,0,0
