t,accuracy,precision_avg,recall_avg,f1_avg
0.0,0.379713550600343,0.17969475121168954,0.18439961618900477,0.14007878217818442
1.0,0.3646946826758148,0.17703234299215953,0.1866138698822092,0.13808727011401215
2.0,0.2913533447684391,0.16954290386610718,0.18393422790469693,0.1270386373774354
3.0,0.3165728987993139,0.17266210229212117,0.18874640571668472,0.13069288861119854
4.0,0.3746500857632933,0.1779320451971101,0.18488285227111187,0.13725934137538887
5.0,0.29926586620926243,0.16568950591024972,0.18370884932541198,0.12677791651486645
6.0,0.3166329331046312,0.16684017050407868,0.18692403496418425,0.12937260965398564
7.0,0.33019554030874787,0.1709830066932973,0.18921746131985792,0.13201052187164686
8.0,0.3063053173241853,0.16791632668746617,0.1831047338716093,0.127746415620249
9.0,0.2848404802744425,0.16571676568964366,0.18551508976439293,0.12357010696383278
10.0,0.30746998284734134,0.1686643031237105,0.18991903626338166,0.12870859258579356
11.0,0.35513893653516293,0.175485821769955,0.1884527170415248,0.13613665337116806
12.0,0.3516449399656947,0.1737236314997074,0.18796331995395327,0.1359284107514884
13.0,0.30157461406518005,0.1686879170650032,0.1885178388406405,0.12744151046848035
14.0,0.308770154373928,0.1688616554080764,0.19041393758751218,0.12818523965979803
15.0,0.30317667238421964,0.16928495584735542,0.18754762844423398,0.12793920478860407
16.0,0.30521612349914234,0.16836858017136172,0.18350911012780263,0.12842469085896602
17.0,0.28847855917667237,0.16699986436260178,0.187184715907195,0.12532775555975173
18.0,0.312672384219554,0.17187094425920457,0.18648059791184443,0.1300456051818805
19.0,0.29373070325900513,0.16878758806508914,0.18731317035453515,0.12684207029173153
20.0,0.299401372212693,0.17276707110194134,0.18513540073261334,0.1290463850606859
21.0,0.3037324185248714,0.16837933214676193,0.1890309466850364,0.12732805256326432
22.0,0.29730188679245284,0.16152065465663332,0.18738796572887503,0.12524253824364365
23.0,0.4722401372212693,0.20222399611832717,0.20124088756453049,0.1625235057156363
24.0,0.3103979416809606,0.1708840973940803,0.18986396139628672,0.12921840539240745
25.0,0.2828765008576329,0.164471294515524,0.18498205048754665,0.12284772446723051
26.0,0.32584219554030874,0.17117625811338893,0.19026736948182277,0.13138788370558308
27.0,0.28142367066895374,0.1677045081305732,0.18826396900610481,0.12282295673578493
28.0,0.2814322469982848,0.16624752785481547,0.18805300818224413,0.12258099710461146
29.0,0.29238765008576323,0.16759713886803054,0.18996600594217333,0.12552363341455985
30.0,0.3141114922813036,0.1714936845482321,0.1885054441836925,0.12979848278871167
31.0,0.3106123499142367,0.1694631419270242,0.18895266222262214,0.12984226362758136
