Month,P,LST,NDVI,SM
1,0.4230973860155446,0.2569255907318412,0.16691873751681424,0.15305828573580013
2,0.5015850262184885,0.2383416446007422,0.14357912208988785,0.11649420709088143
3,0.5898997621196687,0.160496753237873,0.1263928425883293,0.1232106420541291
4,0.6912422231925235,0.1479460902631433,0.09584111560611634,0.06497057093821686
5,0.7087662070400067,0.15821699764383082,0.09283794300520704,0.040178852310955394
6,0.6583538810355213,0.1602590306926176,0.1254109379460218,0.05597615032583931
7,0.5411464560773418,0.21970204497018445,0.13244151775871502,0.10670998119375881
8,0.5762160752283024,0.1893791606024659,0.14188408305027825,0.09252068111895348
9,0.5332284919231832,0.20449198507629496,0.1437809387521779,0.11849858424834389
10,0.5120361059675044,0.21650412234115893,0.14377674808195665,0.12768302360938008
11,0.47492873791076173,0.22773510382442627,0.16037717185739414,0.1369589864074179
12,0.4048081059846112,0.26757471340096456,0.18132617096680406,0.14629100964762023
