cell,predictions,config,mse,nse
15,"2022-01-01    0.037645
2022-02-01    0.044034
2022-03-01    0.022085
2022-04-01    0.029739
2022-05-01    0.035325
2022-06-01    0.081954
2022-07-01    0.171055
2022-08-01    0.151198
2022-09-01    0.083394
2022-10-01    0.070772
2022-11-01    0.038683
2022-12-01    0.050896
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 0, 12), 'ct']",0.001369163,0.684124014
16,"2022-01-01    0.047878
2022-02-01    0.054399
2022-03-01    0.032666
2022-04-01    0.039414
2022-05-01    0.041617
2022-06-01    0.095238
2022-07-01    0.192952
2022-08-01    0.157359
2022-09-01    0.094328
2022-10-01    0.050629
2022-11-01    0.058724
2022-12-01    0.070411
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (0, 1, 0, 12), 'ct']",0.002990717,0.682132477
17,"2022-01-01    0.034508
2022-02-01    0.035653
2022-03-01    0.032847
2022-04-01    0.029339
2022-05-01    0.038537
2022-06-01    0.054754
2022-07-01    0.133537
2022-08-01    0.119707
2022-09-01    0.124706
2022-10-01    0.084079
2022-11-01    0.062934
2022-12-01    0.060006
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (2, 1, 2, 12), 'c']",0.002401212,0.434752237
18,"2022-01-01    0.046648
2022-02-01    0.049590
2022-03-01    0.033496
2022-04-01    0.037785
2022-05-01    0.036837
2022-06-01    0.096982
2022-07-01    0.184091
2022-08-01    0.159263
2022-09-01    0.088868
2022-10-01    0.044687
2022-11-01    0.043188
2022-12-01    0.076033
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 0, 12), 'ct']",0.004286682,0.548842333
19,"2022-01-01    0.052364
2022-02-01    0.050323
2022-03-01    0.034492
2022-04-01    0.040043
2022-05-01    0.041699
2022-06-01    0.117069
2022-07-01    0.190885
2022-08-01    0.163945
2022-09-01    0.074380
2022-10-01    0.049549
2022-11-01    0.045243
2022-12-01    0.086632
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (0, 1, 0, 12), 'ct']",0.003831345,0.567614353
20,"2022-01-01    0.039453
2022-02-01    0.043042
2022-03-01    0.032286
2022-04-01    0.031995
2022-05-01    0.036087
2022-06-01    0.104309
2022-07-01    0.180887
2022-08-01    0.145287
2022-09-01    0.066192
2022-10-01    0.045223
2022-11-01    0.042938
2022-12-01    0.082265
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (0, 1, 0, 12), 'ct']",0.002531918,0.577807607
21,"2022-01-01    0.040511
2022-02-01    0.038596
2022-03-01    0.022075
2022-04-01    0.024815
2022-05-01    0.028043
2022-06-01    0.102401
2022-07-01    0.134000
2022-08-01    0.104581
2022-09-01    0.056674
2022-10-01    0.025183
2022-11-01    0.031682
2022-12-01    0.073874
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (0, 1, 0, 12), 'ct']",0.001505676,0.594637843
22,"2022-01-01    0.017556
2022-02-01    0.016916
2022-03-01    0.001196
2022-04-01    0.004636
2022-05-01    0.008566
2022-06-01    0.080026
2022-07-01    0.091526
2022-08-01    0.076896
2022-09-01    0.041706
2022-10-01    0.006276
2022-11-01    0.002836
2022-12-01    0.050666
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 0, 12), 'n']",0.000630509,0.66367693
23,"2022-01-01    0.034013
2022-02-01    0.039444
2022-03-01    0.026729
2022-04-01    0.024760
2022-05-01    0.028110
2022-06-01    0.036338
2022-07-01    0.091367
2022-08-01    0.077814
2022-09-01    0.079108
2022-10-01    0.044942
2022-11-01    0.033379
2022-12-01    0.036070
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 0), (0, 1, 1, 12), 'c']",0.001264617,0.47811352
24,"2022-01-01    0.031055
2022-02-01    0.038692
2022-03-01    0.027381
2022-04-01    0.025558
2022-05-01    0.027626
2022-06-01    0.036064
2022-07-01    0.093383
2022-08-01    0.079072
2022-09-01    0.075474
2022-10-01    0.044857
2022-11-01    0.033715
2022-12-01    0.036010
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (0, 1, 1, 12), 'c']",0.001333188,0.509461134
25,"2022-01-01    0.024942
2022-02-01    0.032259
2022-03-01    0.022160
2022-04-01    0.021530
2022-05-01    0.021500
2022-06-01    0.028361
2022-07-01    0.086277
2022-08-01    0.075186
2022-09-01    0.069192
2022-10-01    0.039208
2022-11-01    0.025697
2022-12-01    0.028915
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (1, 1, 2, 12), 'n']",0.000229881,0.788434814
26,"2022-01-01    0.025088
2022-02-01    0.028956
2022-03-01    0.025506
2022-04-01    0.023015
2022-05-01    0.023312
2022-06-01    0.043771
2022-07-01    0.109123
2022-08-01    0.081220
2022-09-01    0.059445
2022-10-01    0.045503
2022-11-01    0.042765
2022-12-01    0.045993
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (0, 1, 2, 12), 'ct']",0.000772186,0.460946146
27,"2022-01-01    0.024267
2022-02-01    0.029872
2022-03-01    0.021695
2022-04-01    0.027402
2022-05-01    0.026255
2022-06-01    0.080113
2022-07-01    0.154567
2022-08-01    0.088946
2022-09-01    0.055010
2022-10-01    0.028630
2022-11-01    0.027225
2022-12-01    0.043925
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",0.001488233,0.578282436
28,"2022-01-01    0.020045
2022-02-01    0.024273
2022-03-01    0.017152
2022-04-01    0.021880
2022-05-01    0.029948
2022-06-01    0.045245
2022-07-01    0.103757
2022-08-01    0.081677
2022-09-01    0.068257
2022-10-01    0.043473
2022-11-01    0.036478
2022-12-01    0.040956
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 2, 12), 'ct']",0.001544153,0.454497408
29,"2022-01-01    0.022825
2022-02-01    0.035614
2022-03-01    0.026900
2022-04-01    0.033215
2022-05-01    0.037205
2022-06-01    0.056441
2022-07-01    0.103029
2022-08-01    0.089030
2022-09-01    0.080159
2022-10-01    0.049392
2022-11-01    0.042881
2022-12-01    0.045945
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 2, 12), 'ct']",0.001584974,0.455980089
30,"2022-01-01    0.020072
2022-02-01    0.051164
2022-03-01    0.049548
2022-04-01    0.052016
2022-05-01    0.034586
2022-06-01    0.121949
2022-07-01    0.125361
2022-08-01    0.108320
2022-09-01    0.074366
2022-10-01    0.030021
2022-11-01    0.041370
2022-12-01    0.045512
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (0, 1, 0, 12), 'ct']",0.002255095,0.37228065
31,"2022-01-01    0.013076
2022-02-01    0.014298
2022-03-01    0.011571
2022-04-01    0.018352
2022-05-01    0.018467
2022-06-01    0.023024
2022-07-01    0.074848
2022-08-01    0.068839
2022-09-01    0.058047
2022-10-01    0.029604
2022-11-01    0.015892
2022-12-01    0.017270
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 0), (2, 1, 1, 12), 'n']",0.001938181,0.276852481
32,"2022-01-01    0.010019
2022-02-01    0.016419
2022-03-01    0.024637
2022-04-01    0.020545
2022-05-01    0.023013
2022-06-01    0.063333
2022-07-01    0.138633
2022-08-01    0.080384
2022-09-01    0.035416
2022-10-01    0.017729
2022-11-01    0.009072
2022-12-01    0.010886
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",0.003017792,0.219125258
33,"2022-01-01    0.027472
2022-02-01    0.034673
2022-03-01    0.042405
2022-04-01    0.034836
2022-05-01    0.039114
2022-06-01    0.054704
2022-07-01    0.113851
2022-08-01    0.059736
2022-09-01    0.049022
2022-10-01    0.037632
2022-11-01    0.022494
2022-12-01    0.033598
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (0, 0, 2, 12), 't']",0.005167844,0.094493403
34,"2022-01-01    0.015391
2022-02-01    0.022348
2022-03-01    0.014414
2022-04-01    0.024746
2022-05-01    0.017826
2022-06-01    0.027389
2022-07-01    0.086300
2022-08-01    0.068096
2022-09-01    0.053723
2022-10-01    0.038805
2022-11-01    0.016878
2022-12-01    0.023979
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (2, 0, 1, 12), 'n']",0.001113987,0.533008025
35,"2022-01-01    0.017233
2022-02-01    0.026134
2022-03-01    0.032781
2022-04-01    0.035322
2022-05-01    0.039295
2022-06-01    0.046175
2022-07-01    0.064050
2022-08-01    0.049089
2022-09-01    0.044500
2022-10-01    0.049292
2022-11-01    0.041816
2022-12-01    0.040788
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (0, 0, 1, 12), 't']",0.003011922,0.126720435
36,"2022-01-01    0.012559
2022-02-01    0.018393
2022-03-01    0.017932
2022-04-01    0.022842
2022-05-01    0.018841
2022-06-01    0.021320
2022-07-01    0.073362
2022-08-01    0.064372
2022-09-01    0.053837
2022-10-01    0.037403
2022-11-01    0.021687
2022-12-01    0.021926
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (1, 1, 2, 12), 'n']",0.002714285,0.145505236
