cell,predictions,config,mse,nse
392,"2022-01-01    0.011457
2022-02-01    0.006685
2022-03-01    0.009881
2022-04-01    0.017313
2022-05-01    0.033892
2022-06-01    0.060450
2022-07-01    0.107952
2022-08-01    0.111270
2022-09-01    0.108806
2022-10-01    0.032052
2022-11-01    0.019752
2022-12-01    0.011420
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (1, 1, 2, 12), 'c']",0.000465481,0.846870435
393,"2022-01-01    0.014639
2022-02-01    0.010265
2022-03-01    0.013730
2022-04-01    0.014452
2022-05-01    0.035133
2022-06-01    0.052031
2022-07-01    0.102778
2022-08-01    0.108476
2022-09-01    0.107215
2022-10-01    0.028345
2022-11-01    0.022049
2022-12-01    0.011191
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 2, 12), 'c']",0.000725807,0.784934482
394,"2022-01-01    0.022213
2022-02-01    0.017050
2022-03-01    0.018680
2022-04-01    0.018915
2022-05-01    0.042290
2022-06-01    0.073667
2022-07-01    0.109338
2022-08-01    0.117647
2022-09-01    0.098649
2022-10-01    0.038277
2022-11-01    0.030505
2022-12-01    0.024433
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (1, 1, 2, 12), 'c']",0.000805497,0.749458266
395,"2022-01-01    0.039769
2022-02-01    0.031459
2022-03-01    0.033884
2022-04-01    0.032867
2022-05-01    0.052981
2022-06-01    0.077002
2022-07-01    0.124577
2022-08-01    0.123285
2022-09-01    0.111771
2022-10-01    0.056420
2022-11-01    0.045622
2022-12-01    0.038562
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (2, 1, 2, 12), 'c']",0.004100258,0.506318741
396,"2022-01-01    0.012570
2022-02-01    0.015330
2022-03-01    0.008237
2022-04-01    0.006366
2022-05-01    0.013718
2022-06-01    0.071441
2022-07-01    0.060429
2022-08-01    0.071544
2022-09-01    0.099537
2022-10-01    0.026587
2022-11-01    0.021535
2022-12-01    0.013045
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (2, 1, 0, 12), 'c']",0.000444762,0.599144491
397,"2022-01-01    0.002445
2022-02-01    0.005826
2022-03-01   -0.016732
2022-04-01    0.006878
2022-05-01    0.047145
2022-06-01    0.075901
2022-07-01    0.108157
2022-08-01    0.140930
2022-09-01    0.047222
2022-10-01    0.073681
2022-11-01    0.067354
2022-12-01    0.042454
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (0, 1, 0, 12), 'n']",0.002675471,0.605993316
398,"2022-01-01    0.028973
2022-02-01    0.055316
2022-03-01    0.026270
2022-04-01    0.064815
2022-05-01    0.101281
2022-06-01    0.109608
2022-07-01    0.103555
2022-08-01    0.138653
2022-09-01    0.050562
2022-10-01    0.101481
2022-11-01    0.060792
2022-12-01    0.053853
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (0, 1, 0, 12), 't']",0.005455474,0.423474846
399,"2022-01-01    0.014084
2022-02-01    0.011042
2022-03-01    0.013369
2022-04-01    0.011072
2022-05-01    0.024883
2022-06-01    0.049290
2022-07-01    0.072000
2022-08-01    0.091407
2022-09-01    0.109767
2022-10-01    0.039207
2022-11-01    0.026574
2022-12-01    0.023049
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (1, 1, 2, 12), 'n']",0.003655698,0.344095809
400,"2022-01-01    0.013155
2022-02-01    0.010284
2022-03-01    0.011480
2022-04-01    0.011170
2022-05-01    0.029643
2022-06-01    0.052796
2022-07-01    0.080630
2022-08-01    0.093315
2022-09-01    0.103992
2022-10-01    0.038762
2022-11-01    0.020627
2022-12-01    0.018946
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (2, 1, 2, 12), 'n']",0.003785891,0.366006564
401,"2022-01-01    0.025146
2022-02-01    0.020709
2022-03-01    0.022553
2022-04-01    0.021573
2022-05-01    0.047117
2022-06-01    0.072319
2022-07-01    0.098185
2022-08-01    0.093897
2022-09-01    0.114795
2022-10-01    0.040796
2022-11-01    0.025226
2022-12-01    0.023852
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (0, 1, 1, 12), 'c']",0.002169922,0.487407972
402,"2022-01-01    0.017071
2022-02-01    0.015638
2022-03-01    0.014762
2022-04-01    0.013929
2022-05-01    0.028175
2022-06-01    0.055515
2022-07-01    0.097090
2022-08-01    0.111371
2022-09-01    0.122255
2022-10-01    0.047115
2022-11-01    0.021107
2022-12-01    0.015653
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (1, 1, 2, 12), 'n']",0.005193913,0.427092673
403,"2022-01-01    0.016219
2022-02-01    0.016338
2022-03-01    0.018037
2022-04-01    0.014769
2022-05-01    0.026054
2022-06-01    0.063076
2022-07-01    0.097120
2022-08-01    0.095033
2022-09-01    0.090327
2022-10-01    0.045905
2022-11-01    0.020587
2022-12-01    0.018671
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (1, 1, 2, 12), 'n']",0.003477825,0.456741391
404,"2022-01-01    0.017632
2022-02-01    0.016526
2022-03-01    0.020065
2022-04-01    0.017210
2022-05-01    0.028657
2022-06-01    0.058316
2022-07-01    0.089845
2022-08-01    0.085821
2022-09-01    0.085232
2022-10-01    0.050570
2022-11-01    0.021253
2022-12-01    0.022502
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (0, 1, 1, 12), 'n']",0.002965596,0.464680004
405,"2022-01-01    0.015323
2022-02-01    0.013817
2022-03-01    0.017114
2022-04-01    0.014453
2022-05-01    0.026452
2022-06-01    0.045458
2022-07-01    0.081809
2022-08-01    0.083971
2022-09-01    0.080560
2022-10-01    0.044964
2022-11-01    0.020816
2022-12-01    0.020241
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (1, 1, 2, 12), 'n']",0.003263798,0.406486838
406,"2022-01-01    0.014714
2022-02-01    0.014368
2022-03-01    0.016987
2022-04-01    0.014634
2022-05-01    0.027971
2022-06-01    0.039852
2022-07-01    0.076565
2022-08-01    0.067724
2022-09-01    0.077810
2022-10-01    0.043786
2022-11-01    0.018889
2022-12-01    0.018659
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 1, 2, 12), 'n']",0.000932488,0.580412226
407,"2022-01-01    0.021722
2022-02-01    0.016581
2022-03-01    0.026915
2022-04-01    0.028432
2022-05-01    0.068673
2022-06-01    0.081997
2022-07-01    0.111445
2022-08-01    0.116497
2022-09-01    0.054032
2022-10-01    0.020061
2022-11-01    0.028994
2022-12-01    0.022040
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",0.001404623,0.613054597
408,"2022-01-01    0.016044
2022-02-01    0.009795
2022-03-01    0.019531
2022-04-01    0.038427
2022-05-01    0.053737
2022-06-01    0.091512
2022-07-01    0.114217
2022-08-01    0.085995
2022-09-01    0.036834
2022-10-01    0.016996
2022-11-01    0.016609
2022-12-01    0.012804
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 0, 12), 'ct']",0.001413706,0.561749443
409,"2022-01-01    0.025579
2022-02-01    0.018665
2022-03-01    0.026575
2022-04-01    0.060402
2022-05-01    0.087215
2022-06-01    0.124386
2022-07-01    0.122523
2022-08-01    0.110767
2022-09-01    0.054496
2022-10-01    0.037493
2022-11-01    0.023136
2022-12-01    0.025372
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 0, 12), 'ct']",0.003605549,0.465148262
410,"2022-01-01    0.018890
2022-02-01    0.017641
2022-03-01    0.019433
2022-04-01    0.041527
2022-05-01    0.058839
2022-06-01    0.074687
2022-07-01    0.100718
2022-08-01    0.083916
2022-09-01    0.093548
2022-10-01    0.056967
2022-11-01    0.034989
2022-12-01    0.035174
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 2, 12), 'ct']",0.003488719,0.339635513
411,"2022-01-01    0.020783
2022-02-01    0.018597
2022-03-01    0.048218
2022-04-01    0.040879
2022-05-01    0.048084
2022-06-01    0.081137
2022-07-01    0.083812
2022-08-01    0.067962
2022-09-01    0.065971
2022-10-01    0.058808
2022-11-01    0.034252
2022-12-01    0.025650
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 1, 12), 'ct']",0.003516313,0.251447314
412,"2022-01-01    0.021413
2022-02-01    0.017492
2022-03-01    0.048714
2022-04-01    0.035645
2022-05-01    0.057470
2022-06-01    0.081756
2022-07-01    0.089913
2022-08-01    0.061158
2022-09-01    0.068182
2022-10-01    0.062016
2022-11-01    0.038424
2022-12-01    0.028008
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 1, 12), 'ct']",0.003170292,0.218388184
413,"2022-01-01    0.022586
2022-02-01    0.018797
2022-03-01    0.048613
2022-04-01    0.035172
2022-05-01    0.059534
2022-06-01    0.084233
2022-07-01    0.098981
2022-08-01    0.058824
2022-09-01    0.070565
2022-10-01    0.064519
2022-11-01    0.038666
2022-12-01    0.029563
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 1, 12), 'ct']",0.002705244,0.294425934
414,"2022-01-01    0.018810
2022-02-01    0.012127
2022-03-01    0.025067
2022-04-01    0.039927
2022-05-01    0.060374
2022-06-01    0.095340
2022-07-01    0.102852
2022-08-01    0.034317
2022-09-01    0.064577
2022-10-01    0.067203
2022-11-01    0.040731
2022-12-01    0.019498
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (2, 1, 2, 12), 'ct']",0.001759887,0.45984178
415,"2022-01-01    0.019517
2022-02-01    0.020970
2022-03-01    0.027940
2022-04-01    0.038218
2022-05-01    0.105108
2022-06-01    0.167505
2022-07-01    0.137501
2022-08-01    0.054785
2022-09-01    0.051477
2022-10-01    0.038475
2022-11-01    0.028799
2022-12-01    0.026310
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (0, 1, 0, 12), 'ct']",0.001441528,0.684133221
416,"2022-01-01    0.015021
2022-02-01    0.016601
2022-03-01    0.017252
2022-04-01    0.033088
2022-05-01    0.077120
2022-06-01    0.117630
2022-07-01    0.103578
2022-08-01    0.071191
2022-09-01    0.069130
2022-10-01    0.060736
2022-11-01    0.038015
2022-12-01    0.032162
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (0, 1, 2, 12), 'ct']",0.001529394,0.607039451
417,"2022-01-01    0.009805
2022-02-01    0.006395
2022-03-01    0.007807
2022-04-01    0.022420
2022-05-01    0.066996
2022-06-01    0.111879
2022-07-01    0.092926
2022-08-01    0.052151
2022-09-01    0.050347
2022-10-01    0.051941
2022-11-01    0.020054
2022-12-01    0.010377
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (1, 1, 2, 12), 'ct']",0.001393366,0.503400449
418,"2022-01-01    0.013485
2022-02-01    0.013964
2022-03-01    0.021683
2022-04-01    0.024170
2022-05-01    0.051736
2022-06-01    0.065746
2022-07-01    0.083329
2022-08-01    0.066319
2022-09-01    0.071888
2022-10-01    0.053247
2022-11-01    0.017328
2022-12-01    0.014999
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (2, 1, 2, 12), 'c']",0.001279081,0.460351457
419,"2022-01-01    0.011833
2022-02-01    0.015526
2022-03-01    0.020919
2022-04-01    0.025516
2022-05-01    0.048812
2022-06-01    0.053291
2022-07-01    0.087489
2022-08-01    0.073629
2022-09-01    0.077132
2022-10-01    0.052553
2022-11-01    0.015307
2022-12-01    0.012837
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 0), (2, 1, 2, 12), 'n']",0.002839921,0.361729543
420,"2022-01-01    0.012578
2022-02-01    0.016245
2022-03-01    0.023515
2022-04-01    0.025053
2022-05-01    0.040525
2022-06-01    0.043856
2022-07-01    0.098425
2022-08-01    0.076826
2022-09-01    0.063970
2022-10-01    0.052326
2022-11-01    0.015819
2022-12-01    0.014531
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (2, 0, 2, 12), 'c']",0.001637072,0.478300092
421,"2022-01-01    0.012608
2022-02-01    0.017119
2022-03-01    0.017023
2022-04-01    0.028521
2022-05-01    0.052056
2022-06-01    0.055945
2022-07-01    0.087353
2022-08-01    0.081766
2022-09-01    0.066982
2022-10-01    0.052435
2022-11-01    0.016364
2022-12-01    0.014170
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (2, 1, 1, 12), 'n']",0.001397757,0.506348297
422,"2022-01-01    0.010733
2022-02-01    0.017324
2022-03-01    0.018308
2022-04-01    0.025775
2022-05-01    0.052472
2022-06-01    0.054085
2022-07-01    0.096314
2022-08-01    0.077181
2022-09-01    0.060216
2022-10-01    0.054521
2022-11-01    0.012701
2022-12-01    0.012459
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 1, 1, 12), 'c']",0.001022532,0.621229012
423,"2022-01-01    0.016552
2022-02-01    0.017179
2022-03-01    0.021593
2022-04-01    0.032144
2022-05-01    0.053538
2022-06-01    0.055751
2022-07-01    0.099613
2022-08-01    0.085740
2022-09-01    0.075995
2022-10-01    0.046679
2022-11-01    0.016409
2022-12-01    0.014687
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 0), (2, 1, 2, 12), 'c']",0.001926185,0.579766402
424,"2022-01-01    0.016913
2022-02-01    0.016654
2022-03-01    0.022412
2022-04-01    0.032755
2022-05-01    0.054267
2022-06-01    0.052465
2022-07-01    0.107660
2022-08-01    0.085044
2022-09-01    0.070732
2022-10-01    0.045210
2022-11-01    0.015873
2022-12-01    0.015005
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (2, 1, 1, 12), 'c']",0.001823902,0.580009513
425,"2022-01-01    0.019065
2022-02-01    0.020958
2022-03-01    0.024948
2022-04-01    0.035751
2022-05-01    0.056715
2022-06-01    0.053269
2022-07-01    0.124502
2022-08-01    0.086646
2022-09-01    0.068727
2022-10-01    0.046492
2022-11-01    0.017267
2022-12-01    0.016645
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (2, 1, 1, 12), 'c']",0.001913389,0.60527384
426,"2022-01-01    0.010146
2022-02-01    0.037704
2022-03-01    0.029852
2022-04-01    0.020404
2022-05-01    0.052050
2022-06-01    0.053851
2022-07-01    0.192144
2022-08-01    0.053720
2022-09-01    0.029469
2022-10-01    0.044403
2022-11-01    0.003376
2022-12-01    0.017763
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (1, 1, 0, 12), 'n']",0.002023357,0.668624672
427,"2022-01-01    0.025633
2022-02-01    0.027186
2022-03-01    0.037676
2022-04-01    0.025322
2022-05-01    0.032884
2022-06-01    0.066441
2022-07-01    0.124017
2022-08-01    0.143189
2022-09-01    0.130944
2022-10-01    0.055844
2022-11-01    0.037068
2022-12-01    0.026888
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 0), (2, 1, 2, 12), 'c']",0.004876763,0.550129524
428,"2022-01-01    0.020109
2022-02-01    0.021056
2022-03-01    0.031021
2022-04-01    0.017050
2022-05-01    0.023780
2022-06-01    0.061041
2022-07-01    0.106085
2022-08-01    0.111940
2022-09-01    0.123798
2022-10-01    0.046898
2022-11-01    0.032175
2022-12-01    0.019979
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (2, 1, 2, 12), 'n']",0.003680095,0.531826137
429,"2022-01-01    0.017499
2022-02-01    0.009511
2022-03-01    0.013418
2022-04-01    0.010471
2022-05-01    0.023106
2022-06-01    0.052626
2022-07-01    0.106211
2022-08-01    0.091429
2022-09-01    0.105921
2022-10-01    0.030265
2022-11-01    0.018927
2022-12-01    0.011297
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (2, 1, 2, 12), 'n']",0.002070823,0.590289821
430,"2022-01-01    0.017648
2022-02-01    0.010303
2022-03-01    0.013504
2022-04-01    0.013541
2022-05-01    0.022873
2022-06-01    0.055312
2022-07-01    0.106612
2022-08-01    0.094829
2022-09-01    0.104381
2022-10-01    0.030066
2022-11-01    0.020938
2022-12-01    0.012516
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (2, 1, 2, 12), 'n']",0.000934755,0.761221923
431,"2022-01-01    0.019500
2022-02-01    0.010669
2022-03-01    0.014282
2022-04-01    0.015541
2022-05-01    0.025935
2022-06-01    0.064617
2022-07-01    0.116161
2022-08-01    0.099953
2022-09-01    0.114179
2022-10-01    0.035726
2022-11-01    0.026435
2022-12-01    0.015940
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (1, 1, 2, 12), 'c']",0.001827753,0.693791186
432,"2022-01-01    0.022761
2022-02-01    0.012347
2022-03-01    0.017123
2022-04-01    0.019684
2022-05-01    0.031644
2022-06-01    0.068689
2022-07-01    0.118102
2022-08-01    0.109325
2022-09-01    0.118561
2022-10-01    0.041432
2022-11-01    0.030258
2022-12-01    0.018624
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (1, 1, 2, 12), 'c']",0.00246751,0.653263245
433,"2022-01-01    0.009527
2022-02-01    0.003365
2022-03-01    0.008801
2022-04-01    0.010132
2022-05-01    0.035365
2022-06-01    0.058696
2022-07-01    0.104288
2022-08-01    0.096401
2022-09-01    0.108089
2022-10-01    0.027304
2022-11-01    0.020184
2022-12-01    0.009561
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 1, 12), 'c']",0.000383579,0.83722212
434,"2022-01-01    0.015294
2022-02-01    0.009934
2022-03-01    0.015607
2022-04-01    0.017701
2022-05-01    0.046577
2022-06-01    0.060968
2022-07-01    0.106974
2022-08-01    0.102946
2022-09-01    0.113268
2022-10-01    0.032951
2022-11-01    0.025787
2022-12-01    0.013144
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (2, 1, 1, 12), 'n']",0.000683847,0.755689758
435,"2022-01-01    0.015293
2022-02-01    0.010158
2022-03-01    0.013756
2022-04-01    0.015613
2022-05-01    0.039705
2022-06-01    0.059240
2022-07-01    0.099865
2022-08-01    0.109145
2022-09-01    0.099570
2022-10-01    0.030917
2022-11-01    0.024531
2022-12-01    0.014341
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (1, 1, 1, 12), 'n']",0.000364075,0.857440228
436,"2022-01-01    0.017493
2022-02-01    0.012080
2022-03-01    0.015297
2022-04-01    0.016143
2022-05-01    0.042741
2022-06-01    0.065977
2022-07-01    0.100692
2022-08-01    0.109632
2022-09-01    0.094586
2022-10-01    0.032630
2022-11-01    0.024614
2022-12-01    0.019249
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 0), (1, 1, 2, 12), 'c']",0.0009518,0.736623682
437,"2022-01-01    0.018467
2022-02-01    0.011520
2022-03-01    0.013229
2022-04-01    0.015953
2022-05-01    0.035572
2022-06-01    0.059355
2022-07-01    0.102994
2022-08-01    0.110646
2022-09-01    0.090055
2022-10-01    0.036291
2022-11-01    0.024702
2022-12-01    0.019369
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 0), (2, 1, 1, 12), 'n']",0.001677525,0.621170288
438,"2022-01-01    0.025541
2022-02-01    0.020800
2022-03-01    0.022279
2022-04-01    0.022403
2022-05-01    0.044658
2022-06-01    0.066254
2022-07-01    0.101540
2022-08-01    0.097327
2022-09-01    0.094972
2022-10-01    0.041769
2022-11-01    0.032722
2022-12-01    0.026764
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (2, 0, 2, 12), 'n']",0.003570293,0.45981443
439,"2022-01-01    0.055986
2022-02-01    0.010710
2022-03-01   -0.007618
2022-04-01    0.009762
2022-05-01    0.080104
2022-06-01    0.089927
2022-07-01    0.091763
2022-08-01    0.160656
2022-09-01    0.056050
2022-10-01    0.042598
2022-11-01    0.045424
2022-12-01    0.036849
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 0, 2, 12), 'c']",0.003623999,0.537814751
440,"2022-01-01    0.029852
2022-02-01    0.037541
2022-03-01    0.029780
2022-04-01    0.040986
2022-05-01    0.074947
2022-06-01    0.091664
2022-07-01    0.095045
2022-08-01    0.128825
2022-09-01    0.121820
2022-10-01    0.069945
2022-11-01    0.067053
2022-12-01    0.075518
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (0, 1, 2, 12), 'ct']",0.004312023,0.413825484
441,"2022-01-01    0.022721
2022-02-01    0.026913
2022-03-01    0.008562
2022-04-01    0.025492
2022-05-01    0.040398
2022-06-01    0.066794
2022-07-01    0.043935
2022-08-01    0.067032
2022-09-01    0.018604
2022-10-01    0.026155
2022-11-01    0.002645
2022-12-01    0.000250
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 0, 0, 12), 'ct']",0.000456086,0.439428041
442,"2022-01-01    0.014045
2022-02-01    0.009017
2022-03-01    0.010524
2022-04-01    0.011464
2022-05-01    0.028044
2022-06-01    0.060239
2022-07-01    0.057350
2022-08-01    0.064368
2022-09-01    0.077099
2022-10-01    0.027298
2022-11-01    0.019954
2022-12-01    0.020746
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (1, 0, 1, 12), 'c']",0.000534609,0.33612974
443,"2022-01-01    0.015295
2022-02-01    0.013044
2022-03-01    0.014058
2022-04-01    0.014418
2022-05-01    0.027805
2022-06-01    0.052271
2022-07-01    0.086250
2022-08-01    0.102143
2022-09-01    0.114595
2022-10-01    0.042082
2022-11-01    0.020188
2022-12-01    0.013744
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (2, 0, 2, 12), 'n']",0.002366965,0.46271059
444,"2022-01-01    0.022613
2022-02-01    0.017379
2022-03-01    0.017201
2022-04-01    0.017683
2022-05-01    0.028539
2022-06-01    0.056006
2022-07-01    0.099412
2022-08-01    0.114237
2022-09-01    0.119909
2022-10-01    0.049225
2022-11-01    0.023953
2022-12-01    0.016506
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (2, 1, 2, 12), 'n']",0.003342931,0.490850716
445,"2022-01-01    0.024706
2022-02-01    0.020650
2022-03-01    0.022146
2022-04-01    0.017958
2022-05-01    0.030440
2022-06-01    0.062448
2022-07-01    0.104877
2022-08-01    0.104729
2022-09-01    0.097060
2022-10-01    0.059335
2022-11-01    0.025626
2022-12-01    0.022682
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (2, 1, 2, 12), 'c']",0.005929146,0.386519222
446,"2022-01-01    0.022665
2022-02-01    0.020786
2022-03-01    0.023783
2022-04-01    0.020169
2022-05-01    0.030665
2022-06-01    0.055968
2022-07-01    0.093571
2022-08-01    0.094928
2022-09-01    0.091171
2022-10-01    0.059690
2022-11-01    0.025096
2022-12-01    0.023511
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (0, 1, 2, 12), 'c']",0.003393936,0.451664698
447,"2022-01-01    0.015509
2022-02-01    0.013575
2022-03-01    0.018124
2022-04-01    0.016234
2022-05-01    0.029495
2022-06-01    0.048359
2022-07-01    0.082106
2022-08-01    0.080619
2022-09-01    0.079591
2022-10-01    0.047410
2022-11-01    0.021299
2022-12-01    0.019745
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 2), (1, 1, 2, 12), 'n']",0.00123167,0.575281847
448,"2022-01-01    0.016267
2022-02-01    0.014822
2022-03-01    0.019757
2022-04-01    0.016875
2022-05-01    0.031152
2022-06-01    0.043825
2022-07-01    0.072412
2022-08-01    0.072967
2022-09-01    0.074957
2022-10-01    0.044435
2022-11-01    0.019883
2022-12-01    0.019283
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (1, 1, 1, 12), 'n']",0.000651451,0.61461284
449,"2022-01-01    0.017019
2022-02-01    0.016867
2022-03-01    0.023298
2022-04-01    0.018092
2022-05-01    0.029718
2022-06-01    0.039424
2022-07-01    0.070529
2022-08-01    0.073253
2022-09-01    0.085689
2022-10-01    0.046592
2022-11-01    0.019148
2022-12-01    0.016690
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (2, 1, 2, 12), 'n']",0.002336527,0.40059626
450,"2022-01-01    0.012954
2022-02-01    0.010109
2022-03-01    0.019288
2022-04-01    0.016702
2022-05-01    0.039651
2022-06-01    0.046106
2022-07-01    0.079657
2022-08-01    0.069104
2022-09-01    0.070844
2022-10-01    0.047248
2022-11-01    0.024695
2022-12-01    0.025419
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 2, 12), 'ct']",0.003082874,0.367980129
451,"2022-01-01    0.023444
2022-02-01    0.017126
2022-03-01    0.026160
2022-04-01    0.062141
2022-05-01    0.095835
2022-06-01    0.124113
2022-07-01    0.112532
2022-08-01    0.099127
2022-09-01    0.049974
2022-10-01    0.027595
2022-11-01    0.022164
2022-12-01    0.025155
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 0, 12), 'ct']",0.003167843,0.41117776
452,"2022-01-01    0.013946
2022-02-01    0.013440
2022-03-01    0.013482
2022-04-01    0.038717
2022-05-01    0.058306
2022-06-01    0.068942
2022-07-01    0.095453
2022-08-01    0.078373
2022-09-01    0.085807
2022-10-01    0.043369
2022-11-01    0.029665
2022-12-01    0.029116
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 2, 12), 'ct']",0.001515384,0.504879485
453,"2022-01-01    0.019795
2022-02-01    0.016881
2022-03-01    0.043582
2022-04-01    0.044554
2022-05-01    0.050559
2022-06-01    0.079840
2022-07-01    0.097498
2022-08-01    0.064102
2022-09-01    0.062581
2022-10-01    0.053890
2022-11-01    0.034463
2022-12-01    0.026226
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 1, 12), 'ct']",0.002003728,0.260250854
454,"2022-01-01    0.018693
2022-02-01    0.017676
2022-03-01    0.034004
2022-04-01    0.022277
2022-05-01    0.043167
2022-06-01    0.049216
2022-07-01    0.074217
2022-08-01    0.065325
2022-09-01    0.077278
2022-10-01    0.049891
2022-11-01    0.019425
2022-12-01    0.017829
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (1, 1, 2, 12), 'c']",0.002262492,0.294495446
455,"2022-01-01    0.017283
2022-02-01    0.022947
2022-03-01    0.028746
2022-04-01    0.028275
2022-05-01    0.042488
2022-06-01    0.049567
2022-07-01    0.070079
2022-08-01    0.066537
2022-09-01    0.075169
2022-10-01    0.049503
2022-11-01    0.019969
2022-12-01    0.021426
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (2, 0, 2, 12), 'n']",0.002039978,0.271612946
456,"2022-01-01    0.013183
2022-02-01    0.009785
2022-03-01    0.039859
2022-04-01    0.021143
2022-05-01    0.035068
2022-06-01    0.059730
2022-07-01    0.080332
2022-08-01    0.031819
2022-09-01    0.043799
2022-10-01    0.052880
2022-11-01    0.018418
2022-12-01    0.006393
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 2), (2, 1, 1, 12), 't']",0.001233167,0.441832075
457,"2022-01-01    0.015997
2022-02-01    0.007824
2022-03-01    0.014625
2022-04-01    0.038511
2022-05-01    0.065863
2022-06-01    0.094594
2022-07-01    0.099695
2022-08-01    0.053714
2022-09-01    0.054023
2022-10-01    0.070580
2022-11-01    0.044189
2022-12-01    0.012789
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (2, 1, 2, 12), 'ct']",0.001616106,0.531650889
