cell,batchsize,mse,nse,y_test,yhat,train_loss,test_loss
1941,4,0.00210280438506328,0.9636609350428447,"[0.15596639 0.31478992 0.45058824 0.52907563 0.70252101 0.8194958
 0.82890756 0.74789916 0.69159664 0.55092437 0.31109244 0.10705882]","[0.11674678 0.22319686 0.42502415 0.5388697  0.6538446  0.7435673
 0.7978554  0.7984977  0.70961636 0.58078986 0.31986204 0.14711127]","[0.14260126650333405, 0.05935779958963394, 0.05733867362141609, 0.05541175976395607, 0.0523139052093029, 0.036093924194574356, 0.014417832717299461, 0.01000861544162035, 0.007745794486254454, 0.008126813918352127, 0.006831555627286434, 0.007099322509020567, 0.006590676959604025, 0.006470078602433205, 0.005831143818795681, 0.005792636889964342, 0.005510041024535894, 0.005579931195825338, 0.005402668844908476, 0.005330587271600962, 0.00524619035422802, 0.0050745210610330105, 0.005078613292425871, 0.00510118855163455, 0.004847561940550804, 0.004809977952390909, 0.005013058427721262, 0.004673095885664225, 0.004719200078397989, 0.004533515311777592, 0.005226136650890112, 0.004778375383466482, 0.004522426053881645, 0.0044138627126812935, 0.004565241280943155, 0.004565592389553785, 0.004558997694402933, 0.004575320053845644, 0.004451222252100706, 0.004370465409010649, 0.004452113527804613, 0.004340963903814554, 0.005147245246917009, 0.004624960944056511, 0.004554002080112696, 0.004234191961586475, 0.004751702770590782, 0.004385838750749826, 0.004535012412816286, 0.004326431080698967]","[0.04721549153327942, 0.040971219539642334, 0.04080462455749512, 0.0382833331823349, 0.03875039145350456, 0.031417716294527054, 0.00898794736713171, 0.008210953325033188, 0.007701098453253508, 0.007831924594938755, 0.006340935826301575, 0.005643058568239212, 0.005450739059597254, 0.005995919927954674, 0.005348768085241318, 0.00529403006657958, 0.005119845736771822, 0.0050963000394403934, 0.005032142158597708, 0.005131349433213472, 0.005403004586696625, 0.004557925276458263, 0.004754668567329645, 0.004113036673516035, 0.005279374774545431, 0.004470737650990486, 0.004357907921075821, 0.004154553636908531, 0.004766557831317186, 0.006251935381442308, 0.004517144523561001, 0.0039757597260177135, 0.004068538546562195, 0.0047124456614255905, 0.004298046696931124, 0.005098747089505196, 0.0041718012653291225, 0.0038990310858935118, 0.0043745520524680614, 0.004015570972114801, 0.004376031458377838, 0.004712337628006935, 0.00488005205988884, 0.00392781151458621, 0.004086753353476524, 0.0038816400337964296, 0.004621066618710756, 0.005556776653975248, 0.004087171051651239, 0.004015174228698015]"
1942,7,0.0026999105233189644,0.9620540937337072,"[0.09432299 0.26956982 0.43459097 0.51169487 0.70098731 0.8221086
 0.88134697 0.77450635 0.71015515 0.53931594 0.23007757 0.11424542]","[0.0849975  0.19006285 0.3734381  0.5452496  0.66126287 0.73453474
 0.7842865  0.81231123 0.72347623 0.53160566 0.2565363  0.10471179]","[0.1971747875213623, 0.07323358207941055, 0.06859005242586136, 0.0670141726732254, 0.06600803136825562, 0.06399042159318924, 0.060398995876312256, 0.049941323697566986, 0.026506785303354263, 0.013322695158421993, 0.009091231971979141, 0.008055361919105053, 0.007545045576989651, 0.007443347945809364, 0.006784067023545504, 0.006679033860564232, 0.006580581422895193, 0.006762234028428793, 0.006066030822694302, 0.006182252429425716, 0.005758862942457199, 0.006138306111097336, 0.0060200816951692104, 0.005268036387860775, 0.00512812240049243, 0.005274611990898848, 0.005565618630498648, 0.0049234176985919476, 0.005674305837601423, 0.0050362590700387955, 0.004802997224032879, 0.004650548100471497, 0.00481582572683692, 0.004772551823407412, 0.0049083358608186245, 0.004647824447602034, 0.00475718267261982, 0.004540274851024151, 0.0045558009296655655, 0.004634948913007975, 0.0045655881986021996, 0.004374535288661718, 0.004841443616896868, 0.0051177553832530975, 0.004558451008051634, 0.004290441982448101, 0.004597687162458897, 0.004314306192100048, 0.0041514802724123, 0.004478659015148878]","[0.06600917130708694, 0.05679475888609886, 0.05675208568572998, 0.0568944551050663, 0.055932868272066116, 0.051217902451753616, 0.04609854519367218, 0.03578096628189087, 0.015334616415202618, 0.008984226733446121, 0.008033671416342258, 0.008791693486273289, 0.008067742921411991, 0.009186776354908943, 0.008071481250226498, 0.006006536539644003, 0.007207184564322233, 0.00639439607039094, 0.006459984462708235, 0.006247257348150015, 0.006030991207808256, 0.005919997114688158, 0.005314892623573542, 0.005075499415397644, 0.006130296736955643, 0.004891119431704283, 0.006881549954414368, 0.004893035627901554, 0.00673665851354599, 0.005306714680045843, 0.004820709582418203, 0.004655600991100073, 0.00617853133007884, 0.005593812093138695, 0.006448045372962952, 0.004607720300555229, 0.00512689957395196, 0.0050392248667776585, 0.005004273261874914, 0.004849025513976812, 0.004701962694525719, 0.005047310143709183, 0.004582145716995001, 0.004667152184993029, 0.004741498734802008, 0.004239579197019339, 0.005203189328312874, 0.004573100246489048, 0.004921852145344019, 0.004747534170746803]"
1943,2,0.0037484387405362254,0.954098729080758,"[0.04689165 0.25577265 0.42699822 0.48993487 0.69253996 0.81207815
 0.91047957 0.77655417 0.70071048 0.50426288 0.2339254  0.03072824]","[0.10436454 0.1872533  0.39703238 0.5910385  0.6668282  0.772779
 0.87953377 0.85220885 0.71893054 0.57932544 0.29404694 0.1167258 ]","[0.1104159951210022, 0.06819701194763184, 0.0649544820189476, 0.045053403824567795, 0.010952812619507313, 0.008687462657690048, 0.008175337687134743, 0.00761028565466404, 0.0061621153727173805, 0.006984146311879158, 0.005785915069282055, 0.0058404733426868916, 0.005937691777944565, 0.005741543136537075, 0.0052238404750823975, 0.005482603795826435, 0.0053385472856462, 0.0051361387595534325, 0.005109630525112152, 0.0051809074357151985, 0.004864665679633617, 0.004895948339253664, 0.0049330852925777435, 0.0049147759564220905, 0.004854022059589624, 0.004852662328630686, 0.004529968835413456, 0.004770022351294756, 0.005091768689453602, 0.004473005421459675, 0.005047488491982222, 0.004672614857554436, 0.004643700085580349, 0.004427574574947357, 0.004495725035667419, 0.004320648964494467, 0.004066082648932934, 0.00460820784792304, 0.004206258803606033, 0.004476048052310944, 0.00445265369489789, 0.004398206248879433, 0.004268974997103214, 0.004114215727895498, 0.004199132788926363, 0.003963361959904432, 0.0038653879892081022, 0.003960961010307074, 0.0041409945115447044, 0.0038579939864575863]","[0.06764306128025055, 0.06189284846186638, 0.054754238575696945, 0.01597009040415287, 0.013884034939110279, 0.010030143894255161, 0.006087135523557663, 0.006680647376924753, 0.007784802000969648, 0.00602685147896409, 0.005366185680031776, 0.00627341540530324, 0.00787374097853899, 0.0057618445716798306, 0.0062819779850542545, 0.005182028282433748, 0.005726445000618696, 0.005108734127134085, 0.005504127591848373, 0.005075233522802591, 0.005055034998804331, 0.005365841090679169, 0.005660379305481911, 0.004713392350822687, 0.005460704211145639, 0.004383769351989031, 0.00445017172023654, 0.005391973536461592, 0.004737247712910175, 0.005535602103918791, 0.005066286772489548, 0.00462183216586709, 0.004840427078306675, 0.0043729133903980255, 0.004332415293902159, 0.004165128339082003, 0.0038275306578725576, 0.004127047955989838, 0.004681601654738188, 0.0038784826174378395, 0.004830383695662022, 0.004988979548215866, 0.004127714782953262, 0.0049526505172252655, 0.004003431648015976, 0.0037792976945638657, 0.00402385788038373, 0.0053093391470611095, 0.0038290463853627443, 0.003775849938392639]"
1984,6,0.0049777989584412164,0.9284854098569195,"[0.03985507 0.24320652 0.4165157  0.46764292 0.59903382 0.69248188
 0.89779589 0.72207126 0.70410628 0.48263889 0.29211957 0.02626812]","[0.10146163 0.14566094 0.32650414 0.45657402 0.6142612  0.68497926
 0.78923774 0.7796606  0.6756849  0.5397435  0.33469936 0.15637255]","[0.15702936053276062, 0.06702914088964462, 0.0637667179107666, 0.061634890735149384, 0.060521505773067474, 0.05796409398317337, 0.050472717732191086, 0.03168825805187225, 0.014710899442434311, 0.009496142156422138, 0.008145850151777267, 0.007727390620857477, 0.007053051143884659, 0.006657667923718691, 0.006109780166298151, 0.006342829670757055, 0.005975926294922829, 0.00566578283905983, 0.005523492582142353, 0.006112503353506327, 0.0054204161278903484, 0.005146580748260021, 0.005288870073854923, 0.005246859975159168, 0.005071237217634916, 0.004896230064332485, 0.005200990941375494, 0.004699915647506714, 0.005358859896659851, 0.004736700560897589, 0.004614174831658602, 0.004643574357032776, 0.004652624484151602, 0.004898240324109793, 0.004425271414220333, 0.004346341826021671, 0.004445962142199278, 0.004403600934892893, 0.004407028667628765, 0.0043997508473694324, 0.004361805971711874, 0.00436004064977169, 0.004441691096872091, 0.004485979676246643, 0.004323598463088274, 0.004189222119748592, 0.00418962724506855, 0.004260463640093803, 0.004028116352856159, 0.004287143237888813]","[0.06153804063796997, 0.05470242723822594, 0.055252283811569214, 0.053293902426958084, 0.051648110151290894, 0.048138488084077835, 0.03552529960870743, 0.024036994203925133, 0.010474727489054203, 0.009703789837658405, 0.013509117066860199, 0.007018404547125101, 0.00902461726218462, 0.006681905593723059, 0.007661218289285898, 0.006716690491884947, 0.006804915145039558, 0.007178768515586853, 0.007360124494880438, 0.0072435117326676846, 0.006604999303817749, 0.006685685366392136, 0.0070274327881634235, 0.006718207150697708, 0.006994506344199181, 0.005947200581431389, 0.0061456747353076935, 0.005956651177257299, 0.006285645067691803, 0.0062951636500656605, 0.005898395087569952, 0.00585469463840127, 0.005232343915849924, 0.005828904453665018, 0.005281653255224228, 0.00636897049844265, 0.005715046543627977, 0.005532640498131514, 0.0054229735396802425, 0.00562022440135479, 0.00590452691540122, 0.005723809823393822, 0.005772298667579889, 0.004936579614877701, 0.0055051688104867935, 0.005197664722800255, 0.0057893358170986176, 0.005613733548671007, 0.005529634654521942, 0.005473180208355188]"
1985,7,0.010226449724321181,0.8664245968303954,"[0.03978184 0.24943856 0.46278473 0.54010266 0.64805903 0.74510748
 0.91931344 0.75777992 0.70452358 0.491017   0.33926853 0.        ]","[0.15044774 0.18875709 0.3409825  0.4604846  0.61095905 0.6802281
 0.75767803 0.7762272  0.7141054  0.6043114  0.37527218 0.19833721]","[0.18776780366897583, 0.06878077983856201, 0.06697952747344971, 0.06513010710477829, 0.06383407860994339, 0.061511337757110596, 0.05621463432908058, 0.03311857581138611, 0.013287941925227642, 0.009430269710719585, 0.00810406357049942, 0.007692566141486168, 0.00736801465973258, 0.007572556845843792, 0.007032624911516905, 0.007089921273291111, 0.0070691825821995735, 0.0063929068855941296, 0.006306948605924845, 0.0065511479042470455, 0.006233139429241419, 0.0057995193637907505, 0.005864111240953207, 0.005841264966875315, 0.005927808117121458, 0.005505349487066269, 0.005338012240827084, 0.005450865253806114, 0.005264121573418379, 0.00538637675344944, 0.005278757307678461, 0.005095964763313532, 0.00511137256398797, 0.005139216780662537, 0.004878493491560221, 0.004902871325612068, 0.005041921511292458, 0.0050811017863452435, 0.004848875105381012, 0.004905562847852707, 0.00492585776373744, 0.0048812092281877995, 0.004897323437035084, 0.00498128542676568, 0.004758457653224468, 0.004707124084234238, 0.004556312691420317, 0.004536364693194628, 0.004371398128569126, 0.004906741436570883]","[0.06664182990789413, 0.05945981666445732, 0.058519016951322556, 0.05821981653571129, 0.05670375004410744, 0.05370255187153816, 0.04440442845225334, 0.021356841549277306, 0.016217470169067383, 0.01189774926751852, 0.010492310859262943, 0.009234883822500706, 0.009610774926841259, 0.009688819758594036, 0.009926979430019855, 0.010169819928705692, 0.010384674184024334, 0.008387965150177479, 0.0077806320041418076, 0.009502516128122807, 0.008362424559891224, 0.00812042597681284, 0.007538288831710815, 0.00935376062989235, 0.01021540816873312, 0.007987556047737598, 0.007623559329658747, 0.00792571809142828, 0.007437384221702814, 0.0100001972168684, 0.00811851117759943, 0.008602987043559551, 0.0071598864160478115, 0.008175213821232319, 0.007064878940582275, 0.008975218050181866, 0.009467522613704205, 0.007953033782541752, 0.007899808697402477, 0.0077673643827438354, 0.00836202409118414, 0.00729779526591301, 0.007251341361552477, 0.007248379290103912, 0.007402762770652771, 0.006980391219258308, 0.006902008783072233, 0.007842234335839748, 0.0075217015109956264, 0.006582329049706459]"
1986,5,0.007014360850275824,0.9004921410971447,"[0.05503394 0.25523617 0.4479272  0.54581347 0.63830709 0.76426405
 0.92142135 0.74447494 0.69550773 0.4971833  0.33265925 0.06326737]","[0.15588084 0.20188496 0.3781027  0.4983617  0.6383677  0.7206408
 0.8261393  0.83434016 0.73540413 0.59781647 0.40175295 0.23202349]","[0.15974469482898712, 0.06683018803596497, 0.0640416070818901, 0.06245807185769081, 0.06163305416703224, 0.0587405301630497, 0.04204230383038521, 0.014532181434333324, 0.007628040388226509, 0.006994195748120546, 0.006693798583000898, 0.00648523960262537, 0.005761667154729366, 0.005537812598049641, 0.005361509975045919, 0.005271334201097488, 0.0052085984498262405, 0.004924128297716379, 0.004649926442652941, 0.004657131154090166, 0.004728162661194801, 0.004344758111983538, 0.004346656613051891, 0.004175127483904362, 0.004093127325177193, 0.004170744679868221, 0.004029220435768366, 0.0039005347061902285, 0.0039646923542022705, 0.003816624404862523, 0.0038402467034757137, 0.0038807240780442953, 0.0036773986648768187, 0.0036663280334323645, 0.003582318779081106, 0.003498425241559744, 0.0034027204383164644, 0.0034305499866604805, 0.0033276064787060022, 0.0035793099086731672, 0.0033586553763598204, 0.003431436838582158, 0.003364382078871131, 0.003451636992394924, 0.0032350902911275625, 0.0033156408462673426, 0.003143549896776676, 0.003154955804347992, 0.0031192651949822903, 0.003221784019842744]","[0.07194367796182632, 0.057439014315605164, 0.056947607547044754, 0.056264251470565796, 0.05443276837468147, 0.04946697875857353, 0.03414541110396385, 0.010259515605866909, 0.009216118603944778, 0.007970714010298252, 0.00817369669675827, 0.007599441800266504, 0.007354761008173227, 0.006838321685791016, 0.007930920459330082, 0.009068690240383148, 0.007081776391714811, 0.005615741480141878, 0.006497618276625872, 0.007117934059351683, 0.006232240702956915, 0.006307790521532297, 0.006453803274780512, 0.006241912022233009, 0.006538376212120056, 0.006162028294056654, 0.005373774562031031, 0.005681669805198908, 0.005435928236693144, 0.006029186304658651, 0.005850998219102621, 0.004844027105718851, 0.0050299023278057575, 0.004993215668946505, 0.004647443536669016, 0.004882364999502897, 0.005065296310931444, 0.005436083301901817, 0.004662534222006798, 0.004989506211131811, 0.005575398448854685, 0.004933750256896019, 0.005105414893478155, 0.0046578384935855865, 0.00456894701346755, 0.004430818371474743, 0.004543022718280554, 0.004384147003293037, 0.004650195594877005, 0.004759637173265219]"
2027,6,0.0033246635867248907,0.9536223593507548,"[0.09081291 0.27878681 0.43995768 0.54376066 0.70216893 0.80409099
 0.90513137 0.7513666  0.72932463 0.55281256 0.23241051 0.10968083]","[0.08439501 0.17455848 0.40828145 0.5340766  0.64776164 0.72355497
 0.80420005 0.7962398  0.7258188  0.5720879  0.30369198 0.13764952]","[0.1973077803850174, 0.07558955252170563, 0.07252432405948639, 0.070429228246212, 0.06871099770069122, 0.06336014717817307, 0.04125179722905159, 0.015984611585736275, 0.00992099940776825, 0.0093457056209445, 0.008248011581599712, 0.007651312276721001, 0.0074134888127446175, 0.007139957509934902, 0.006659578066319227, 0.006443481892347336, 0.006753976922482252, 0.005711597390472889, 0.0054787262342870235, 0.005671047605574131, 0.005307012237608433, 0.005841128993779421, 0.00609592255204916, 0.00530684320256114, 0.005021207965910435, 0.005046529695391655, 0.005336129572242498, 0.005105617921799421, 0.005116540938615799, 0.004625469446182251, 0.004739235155284405, 0.004714851267635822, 0.004680810961872339, 0.004668826702982187, 0.004466480575501919, 0.004402097314596176, 0.004478640388697386, 0.0049309744499623775, 0.00433567026630044, 0.004425083287060261, 0.004356653895229101, 0.0039237504824995995, 0.004279920365661383, 0.004410224035382271, 0.00402790168300271, 0.0038374545983970165, 0.003840097226202488, 0.003977282904088497, 0.003766655223444104, 0.003888648934662342]","[0.06917855888605118, 0.05962646007537842, 0.05806754156947136, 0.05759930610656738, 0.05828598141670227, 0.04501970484852791, 0.015686972066760063, 0.007737126667052507, 0.008602255955338478, 0.006837376859039068, 0.008938365615904331, 0.00559761980548501, 0.007727017626166344, 0.007603099104017019, 0.004288954194635153, 0.007000600453466177, 0.004281101282685995, 0.004527776036411524, 0.004603126551955938, 0.004784718621522188, 0.004448302555829287, 0.005855347495526075, 0.003932172432541847, 0.0041491384617984295, 0.004624232184141874, 0.003628975013270974, 0.005423863884061575, 0.0034390513319522142, 0.0048894877545535564, 0.0043124062940478325, 0.003945732954889536, 0.0036956530530005693, 0.0046137659810483456, 0.004151873756200075, 0.0032429974526166916, 0.004666345659643412, 0.00551338167861104, 0.003545365994796157, 0.004284506663680077, 0.004611162934452295, 0.00433945469558239, 0.004585477989166975, 0.004336100537329912, 0.004333746153861284, 0.0039257570169866085, 0.0032610029447823763, 0.003411252750083804, 0.004443939309567213, 0.004464695695787668, 0.003971410449594259]"
2028,5,0.0023785525670702314,0.962623759161099,"[0.10920285 0.30362929 0.45252754 0.54995679 0.71208684 0.78094621
 0.88901491 0.73703824 0.73476993 0.57274789 0.27090084 0.14128321]","[0.14589259 0.24209063 0.4542903  0.5740277  0.67314637 0.7667562
 0.8276748  0.84611106 0.7416734  0.60982966 0.3294654  0.16572174]","[0.18638749420642853, 0.0703478455543518, 0.06628630310297012, 0.06489486992359161, 0.06391318142414093, 0.06136830523610115, 0.05507650598883629, 0.03906378522515297, 0.026524372398853302, 0.009791427291929722, 0.00833013653755188, 0.007659942843019962, 0.007137569598853588, 0.0068991356529295444, 0.0064993491396307945, 0.006256275810301304, 0.00631322618573904, 0.005783097818493843, 0.0053257993422448635, 0.00571134127676487, 0.005235583521425724, 0.00520522054284811, 0.005287182051688433, 0.004903258290141821, 0.004733274225145578, 0.004971800372004509, 0.00503187021240592, 0.004592630546540022, 0.0047178748063743114, 0.004606248345226049, 0.0041925315745174885, 0.004539256449788809, 0.0042262026108801365, 0.004269753582775593, 0.004264849703758955, 0.004447994288057089, 0.003995915874838829, 0.004189447965472937, 0.004119777586311102, 0.004134926479309797, 0.004234648775309324, 0.0038251744117587805, 0.004443532321602106, 0.004198693670332432, 0.004005658905953169, 0.0037455938290804625, 0.003793245879933238, 0.0036934749223291874, 0.003655161941424012, 0.0037827312480658293]","[0.06232428550720215, 0.05252795293927193, 0.0514921098947525, 0.052722830325365067, 0.051610738039016724, 0.04747207835316658, 0.041155632585287094, 0.039564669132232666, 0.009410344995558262, 0.006076091434806585, 0.006093092728406191, 0.0046442970633506775, 0.004331628326326609, 0.0049982196651399136, 0.004605304915457964, 0.0038979698438197374, 0.004068112466484308, 0.003866177052259445, 0.003342733718454838, 0.0034650769084692, 0.0037299341056495905, 0.0034717225935310125, 0.0031700257677584887, 0.00393866328522563, 0.00411779060959816, 0.003382754512131214, 0.0053480700589716434, 0.003080654889345169, 0.003422670066356659, 0.003396943910047412, 0.004008423537015915, 0.00387284136377275, 0.004066306632012129, 0.004210001323372126, 0.004218577407300472, 0.003026860998943448, 0.0043433355167508125, 0.004711545538157225, 0.0034384324681013823, 0.0044663879089057446, 0.003981820773333311, 0.005407871678471565, 0.0031420562881976366, 0.003776590107008815, 0.004353473428636789, 0.0035197425168007612, 0.003267987398430705, 0.0030947572086006403, 0.0039141527377069, 0.0027588254306465387]"
2029,5,0.002078141487963431,0.9672261703403127,"[0.11557627 0.29271821 0.43240637 0.48020147 0.66709532 0.75116541
 0.89631892 0.76177463 0.7339656  0.54878637 0.28837807 0.11621926]","[0.15108228 0.22357191 0.42138314 0.52571505 0.6403284  0.7317382
 0.79433334 0.77660656 0.6944598  0.5574035  0.3054662  0.1715448 ]","[0.17287516593933105, 0.06847256422042847, 0.0647612139582634, 0.06320177763700485, 0.06152188777923584, 0.057026125490665436, 0.03605860471725464, 0.012246362864971161, 0.008686378598213196, 0.008225962519645691, 0.006829320453107357, 0.006626401096582413, 0.005643859039992094, 0.005816595628857613, 0.005420300178229809, 0.005173577927052975, 0.005207158159464598, 0.005013100802898407, 0.004655718803405762, 0.00509602902457118, 0.004785780794918537, 0.004857676103711128, 0.004814558196812868, 0.004513691645115614, 0.004290295299142599, 0.005079058464616537, 0.004756573121994734, 0.004305365029722452, 0.004633811302483082, 0.004379180260002613, 0.003995060920715332, 0.004086179658770561, 0.004129976965487003, 0.0042314413003623486, 0.004102587699890137, 0.0040604909881949425, 0.004012470133602619, 0.003919956739991903, 0.004021836910396814, 0.004004140384495258, 0.00386827252805233, 0.003703849855810404, 0.004233253188431263, 0.003918895497918129, 0.0038250910583883524, 0.0037723383866250515, 0.003572397632524371, 0.003531853435561061, 0.0035432735458016396, 0.0036073471419513226]","[0.06493707001209259, 0.051587458699941635, 0.05083750560879707, 0.050421059131622314, 0.04828324913978577, 0.04026466980576515, 0.012046369723975658, 0.005945125129073858, 0.004331887234002352, 0.004215592052787542, 0.00442715035751462, 0.0033883436117321253, 0.0037601778749376535, 0.0031485825311392546, 0.0038081463426351547, 0.004143863450735807, 0.004207228310406208, 0.0034398045390844345, 0.0039051200728863478, 0.0037025355268269777, 0.003775056218728423, 0.0037569503765553236, 0.003791986731812358, 0.0035740614403039217, 0.005081075709313154, 0.00396857550367713, 0.003314962377771735, 0.0031101591885089874, 0.0031107512768357992, 0.003183082677423954, 0.003489268245175481, 0.003077979199588299, 0.0032843209337443113, 0.003506222041323781, 0.002946746302768588, 0.0031133878510445356, 0.003522448940202594, 0.0036070505157113075, 0.0035688106436282396, 0.003288711654022336, 0.003817016491666436, 0.0038128532469272614, 0.003206284949555993, 0.003422756679356098, 0.0030629392713308334, 0.0032471881713718176, 0.0028951794374734163, 0.003358893096446991, 0.002970926696434617, 0.003991900477558374]"
