cell,batchsize,mse,nse,y_test,yhat,train_loss,test_loss
5,6,0.0028802205281128444,0.9582243387337271,"[0.14742057 0.2953536  0.54304749 0.79939643 0.96805603 0.85104202
 0.63136317 0.39648104 0.40177656 0.28407926 0.30013666 0.1732149 ]","[0.14309417 0.32593504 0.5418822  0.7866841  0.8627217  0.78784764
 0.6076072  0.4669028  0.41059637 0.388912   0.27310234 0.141047  ]","[0.1803823709487915, 0.06624744832515717, 0.06475770473480225, 0.06373035162687302, 0.06307890266180038, 0.06266586482524872, 0.06086456775665283, 0.05864889174699783, 0.05352601036429405, 0.033918917179107666, 0.023913877084851265, 0.017068270593881607, 0.01617964170873165, 0.014789157547056675, 0.013574467971920967, 0.013165164738893509, 0.012976597994565964, 0.012118070386350155, 0.011641858145594597, 0.011619159951806068, 0.011475736275315285, 0.010372611694037914, 0.009698961861431599, 0.00923687219619751, 0.00875779427587986, 0.008047020994126797, 0.007342641707509756, 0.007042315788567066, 0.007060028612613678, 0.006577934604138136, 0.006113105453550816, 0.006575771141797304, 0.006347506307065487, 0.006043571047484875, 0.00583253987133503, 0.005997297819703817, 0.006028002593666315, 0.005739078391343355, 0.005709291901439428, 0.006201248615980148, 0.005555128213018179, 0.005528560373932123, 0.005649152677506208, 0.0055081648752093315, 0.005304770078510046, 0.00518986489623785, 0.005223013460636139, 0.005327792838215828, 0.005041253287345171, 0.005141358356922865]","[0.07228568941354752, 0.06778741627931595, 0.06604856997728348, 0.06504935771226883, 0.06345435976982117, 0.06372832506895065, 0.061595577746629715, 0.061577994376420975, 0.05137283727526665, 0.029758842661976814, 0.02325194887816906, 0.018124138936400414, 0.018281115218997, 0.015887968242168427, 0.014539986848831177, 0.015619367361068726, 0.014052026905119419, 0.014690756797790527, 0.014192151837050915, 0.015314334072172642, 0.012495391070842743, 0.011725284159183502, 0.010457237251102924, 0.009200324304401875, 0.009965747594833374, 0.0068337456323206425, 0.00587698258459568, 0.005916402209550142, 0.005122377071529627, 0.004984777420759201, 0.0051005384884774685, 0.006856862455606461, 0.004973902832716703, 0.004260594956576824, 0.0049152919091284275, 0.006523580756038427, 0.005704596638679504, 0.004286080598831177, 0.00447577191516757, 0.004889413248747587, 0.004799321759492159, 0.004165195394307375, 0.003948661033064127, 0.004748092032968998, 0.004449117463082075, 0.00515160383656621, 0.004192708525806665, 0.003916723653674126, 0.004199205432087183, 0.0047722868621349335]"
6,8,0.00169033968574072,0.9736520218805286,"[0.16926223 0.31068114 0.55749567 0.80656494 0.96554979 0.86345761
 0.66886896 0.46783074 0.46075193 0.34985056 0.32861413 0.18845367]","[0.16468883 0.30744687 0.58524674 0.8460023  0.9263414  0.8208865
 0.67615706 0.52468383 0.44008452 0.40694734 0.27570587 0.11912966]","[0.22116653621196747, 0.06987280398607254, 0.06467904895544052, 0.06348647177219391, 0.06257542967796326, 0.06277661770582199, 0.061254654079675674, 0.06045440956950188, 0.05823509022593498, 0.05377843230962753, 0.03771096467971802, 0.022173967212438583, 0.01641133613884449, 0.014563432894647121, 0.01329977996647358, 0.012123663909733295, 0.011759084649384022, 0.010829990729689598, 0.010624567046761513, 0.010766169056296349, 0.010015569627285004, 0.008957115933299065, 0.008362795226275921, 0.007839132100343704, 0.00715484656393528, 0.006901076529175043, 0.007119844201952219, 0.006117201875895262, 0.0063297562301158905, 0.005861213896423578, 0.00573360500857234, 0.006476678419858217, 0.005754958372563124, 0.005498433951288462, 0.005512713920325041, 0.005455245729535818, 0.0062484643422067165, 0.005483954679220915, 0.0050581758841872215, 0.005923054181039333, 0.005610298831015825, 0.0054227146320044994, 0.005634482018649578, 0.0050674849189817905, 0.004936410114169121, 0.004818321671336889, 0.004849902354180813, 0.0048314961604774, 0.0052941408939659595, 0.004965841770172119]","[0.10035845637321472, 0.06433723121881485, 0.060683343559503555, 0.059175074100494385, 0.05852774903178215, 0.05788695812225342, 0.056915540248155594, 0.05685189738869667, 0.05386416241526604, 0.04669510945677757, 0.05541862174868584, 0.021024664863944054, 0.018444260582327843, 0.016232121735811234, 0.012852606363594532, 0.014225435443222523, 0.013514732010662556, 0.013394184410572052, 0.013348647393286228, 0.013659807853400707, 0.011700361967086792, 0.010220902971923351, 0.01122293621301651, 0.008921611122786999, 0.008337737061083317, 0.008946355432271957, 0.010177108459174633, 0.007182997185736895, 0.0056403037160634995, 0.004988512024283409, 0.0056091188453137875, 0.006009817123413086, 0.005501878913491964, 0.004512399900704622, 0.005334962159395218, 0.006073398049920797, 0.005335419904440641, 0.005428059492260218, 0.004803830292075872, 0.005568969529122114, 0.005019202362746, 0.006784702185541391, 0.003955279942601919, 0.004111206624656916, 0.0043042502366006374, 0.004116393160074949, 0.004788262769579887, 0.003983819391578436, 0.004262225702404976, 0.0047464207746088505]"
7,8,0.0021321103140581176,0.966159963076332,"[0.18005451 0.31281065 0.53904121 0.80765325 0.95302229 0.8377425
 0.62978996 0.44155844 0.42344076 0.29469296 0.31297098 0.18294052]","[0.13554999 0.29608986 0.54405564 0.8031624  0.9107765  0.8291934
 0.66077346 0.50291526 0.4417383  0.41087526 0.27484438 0.14538284]","[0.20878227055072784, 0.06689257174730301, 0.061539776623249054, 0.0601944737136364, 0.05940909683704376, 0.05961209163069725, 0.05809180065989494, 0.05746125057339668, 0.05535909906029701, 0.05165380612015724, 0.038103003054857254, 0.02264251559972763, 0.016198093071579933, 0.014764918945729733, 0.0128314308822155, 0.012307814322412014, 0.012150228023529053, 0.01113238837569952, 0.010688710026443005, 0.010564678348600864, 0.010034064762294292, 0.009357507340610027, 0.00901916716247797, 0.00847924966365099, 0.007629723753780127, 0.007135070860385895, 0.007063935976475477, 0.006377453450113535, 0.00699640903621912, 0.006181549746543169, 0.005658368580043316, 0.006142803933471441, 0.005730495322495699, 0.005423844326287508, 0.005595280788838863, 0.00550804054364562, 0.005660684779286385, 0.005263729486614466, 0.005238642916083336, 0.005550594534724951, 0.005295452196151018, 0.005335054825991392, 0.005411949940025806, 0.004992772359400988, 0.004905904643237591, 0.0046850889921188354, 0.004778476431965828, 0.004760763607919216, 0.004851730074733496, 0.004915536846965551]","[0.09724540263414383, 0.06290853768587112, 0.05765397474169731, 0.05675509572029114, 0.05520334839820862, 0.05454696714878082, 0.05415739119052887, 0.05350679159164429, 0.051297176629304886, 0.04525265470147133, 0.0365581177175045, 0.02138822339475155, 0.01927471160888672, 0.015172428451478481, 0.013005017302930355, 0.013292457908391953, 0.01285270880907774, 0.012807164341211319, 0.012522215954959393, 0.013400700874626637, 0.011666378937661648, 0.011288364417850971, 0.010466190986335278, 0.009109715931117535, 0.008849460631608963, 0.00696958601474762, 0.006931749638170004, 0.007176341954618692, 0.008669762872159481, 0.005651892628520727, 0.00570150651037693, 0.006074064876884222, 0.005165280308574438, 0.005443658214062452, 0.005897057708352804, 0.006109317298978567, 0.004983554128557444, 0.004819967318326235, 0.004652827512472868, 0.0059867133386433125, 0.0056997016072273254, 0.004860294982790947, 0.0048612612299621105, 0.00531661557033658, 0.00495538953691721, 0.005316412076354027, 0.004435446113348007, 0.004616945516318083, 0.004844072740525007, 0.00521822227165103]"
48,1,0.0029687518720057427,0.956940251144663,"[0.14742057 0.2953536  0.54304749 0.79939643 0.96805603 0.85104202
 0.63136317 0.39648104 0.40177656 0.28407926 0.30013666 0.1732149 ]","[0.172784   0.2992466  0.5777171  0.82368404 0.9164993  0.8374325
 0.62895656 0.46970454 0.44216377 0.42246237 0.25598213 0.1259574 ]","[0.09478375315666199, 0.06355402618646622, 0.05919826403260231, 0.029637621715664864, 0.017215579748153687, 0.014867515303194523, 0.013238480314612389, 0.011663812212646008, 0.01028356235474348, 0.008545528165996075, 0.007582588586956263, 0.007247298024594784, 0.00699204858392477, 0.0066849119029939175, 0.006477599963545799, 0.006501339375972748, 0.006078055594116449, 0.005962754134088755, 0.005879802629351616, 0.00586686609312892, 0.0057114288210868835, 0.005448014475405216, 0.0052355509251356125, 0.005517553072422743, 0.005095973145216703, 0.005727872718125582, 0.005382861010730267, 0.005274414550513029, 0.004944536369293928, 0.004941832274198532, 0.00501658208668232, 0.0047281417064368725, 0.004508699756115675, 0.004467727150768042, 0.004190229810774326, 0.004300323314964771, 0.0042608375661075115, 0.004478716291487217, 0.004144045524299145, 0.0040910555981099606, 0.003947889432311058, 0.004181187134236097, 0.00408750306814909, 0.003866142826154828, 0.003958012443035841, 0.003974157385528088, 0.0038809673860669136, 0.004000950139015913, 0.003853220958262682, 0.003934934269636869]","[0.07364241033792496, 0.06272885203361511, 0.055579572916030884, 0.027682721614837646, 0.017652517184615135, 0.01684090867638588, 0.01824207231402397, 0.012406647205352783, 0.011540754698216915, 0.007427718490362167, 0.008816399611532688, 0.007312936708331108, 0.007961634546518326, 0.005895590875297785, 0.007224507629871368, 0.008017380721867085, 0.006004348862916231, 0.006876443047076464, 0.011345055885612965, 0.007990729995071888, 0.00662336265668273, 0.006181833799928427, 0.0065155657939612865, 0.006642788648605347, 0.008911135606467724, 0.0049111805856227875, 0.0046864766627550125, 0.005604272708296776, 0.005487571004778147, 0.005560644436627626, 0.008296358399093151, 0.004922725260257721, 0.006916578859090805, 0.0053735412657260895, 0.007740987930446863, 0.0056425160728394985, 0.006347466725856066, 0.006219576578587294, 0.005153166130185127, 0.005045804660767317, 0.007704043295234442, 0.00449388800188899, 0.005326320882886648, 0.006119582802057266, 0.0050526452250778675, 0.0057379864156246185, 0.004313650541007519, 0.0050869048573076725, 0.005787169095128775, 0.004860489163547754]"
49,6,0.00287626524452669,0.9600677700837745,"[0.15313887 0.30802156 0.5389981  0.80083492 0.95656309 0.87428662
 0.68753963 0.42771084 0.42390615 0.27155992 0.27457197 0.15535828]","[0.10373265 0.29424417 0.592823   0.81635064 0.89125437 0.823348
 0.64370996 0.5324894  0.4058072  0.35172203 0.22915652 0.14228666]","[0.18726147711277008, 0.06864059716463089, 0.06597651541233063, 0.06444428861141205, 0.06375564634799957, 0.06316901743412018, 0.06171024963259697, 0.059729550033807755, 0.05550297722220421, 0.03368515893816948, 0.01625833660364151, 0.013054591603577137, 0.012251453474164009, 0.011139669455587864, 0.010758325457572937, 0.01039033755660057, 0.010126722976565361, 0.009055068716406822, 0.008566705510020256, 0.008387560956180096, 0.007832126691937447, 0.008018441498279572, 0.007220013067126274, 0.007028755731880665, 0.00734301982447505, 0.006501012947410345, 0.006579497363418341, 0.006450069602578878, 0.0063696554861962795, 0.006056018639355898, 0.005703630391508341, 0.006269469391554594, 0.005948458332568407, 0.005777925252914429, 0.005893883761018515, 0.005683521740138531, 0.005811178125441074, 0.0058720107190310955, 0.005626137368381023, 0.005710679106414318, 0.005574268288910389, 0.005621576681733131, 0.005676679778844118, 0.005461959168314934, 0.005234154406934977, 0.005153782665729523, 0.005226579494774342, 0.0052929469384253025, 0.005229132249951363, 0.005159840919077396]","[0.08606257289648056, 0.0690755620598793, 0.06408058851957321, 0.06290877610445023, 0.06202654913067818, 0.0618009977042675, 0.06080979108810425, 0.06376302242279053, 0.05153520777821541, 0.02612336166203022, 0.01999697834253311, 0.013329275883734226, 0.012614816427230835, 0.0139811085537076, 0.011570143513381481, 0.011021667160093784, 0.010467082262039185, 0.009517141617834568, 0.01059830654412508, 0.010377801954746246, 0.010106748901307583, 0.007672917563468218, 0.007478736806660891, 0.00783555768430233, 0.007530433591455221, 0.006236787885427475, 0.006755924317985773, 0.006284024566411972, 0.006213454995304346, 0.006072127725929022, 0.006093883421272039, 0.007054910063743591, 0.0063832527957856655, 0.005685923621058464, 0.005682559218257666, 0.007688082754611969, 0.0062077767215669155, 0.00610205577686429, 0.0062366812489926815, 0.005744799505919218, 0.00669148750603199, 0.005765876267105341, 0.005421515554189682, 0.006270643789321184, 0.006347801070660353, 0.006149086635559797, 0.005551271140575409, 0.006321823690086603, 0.0064081172458827496, 0.007131326477974653]"
50,9,0.0033171867747193978,0.9556540385676684,"[0.17784347 0.30854209 0.5654271  0.82158602 0.97541621 0.89248483
 0.70997355 0.43130543 0.41543488 0.26995488 0.28240237 0.16352886]","[0.12052768 0.27695942 0.50324166 0.77534926 0.90858424 0.8373203
 0.66076565 0.51231354 0.44618434 0.37571517 0.25749117 0.14697269]","[0.23557431995868683, 0.08756714314222336, 0.06837913393974304, 0.0661923885345459, 0.06597986817359924, 0.0653776228427887, 0.06458904594182968, 0.06374935060739517, 0.06180863454937935, 0.05633145570755005, 0.03726447373628616, 0.021137693896889687, 0.014282983727753162, 0.01333333645015955, 0.012560972012579441, 0.011872080154716969, 0.011693103238940239, 0.011267736554145813, 0.011101718991994858, 0.011442904360592365, 0.0107090650126338, 0.010236574336886406, 0.00997865479439497, 0.009353925473988056, 0.009006631560623646, 0.008652702905237675, 0.008355251513421535, 0.00849548727273941, 0.008619538508355618, 0.007834818214178085, 0.007473708596080542, 0.007672521751374006, 0.007500939536839724, 0.007260880433022976, 0.007004132494330406, 0.0068512121215462685, 0.006856486201286316, 0.006401288788765669, 0.006459336262196302, 0.007074711844325066, 0.006423868238925934, 0.006370231509208679, 0.006161286495625973, 0.006070619914680719, 0.0060693747363984585, 0.006037101615220308, 0.006027732044458389, 0.005818064324557781, 0.00584443099796772, 0.005940722767263651]","[0.11753162741661072, 0.07905421406030655, 0.06600742787122726, 0.06370662897825241, 0.0657711774110794, 0.0624893493950367, 0.06176890432834625, 0.062065351754426956, 0.060099679976701736, 0.05043577030301094, 0.03787662833929062, 0.018560385331511497, 0.016732165589928627, 0.014415103010833263, 0.014043469913303852, 0.01511356607079506, 0.013640073128044605, 0.01388077437877655, 0.015129484236240387, 0.01318537350744009, 0.012194886803627014, 0.011743956245481968, 0.011834661476314068, 0.011039459146559238, 0.010984341613948345, 0.009475777857005596, 0.011403709650039673, 0.009383988566696644, 0.009236101061105728, 0.007545469794422388, 0.008078902959823608, 0.008297470398247242, 0.007056858856230974, 0.006271921563893557, 0.00722840940579772, 0.006543578580021858, 0.006203210446983576, 0.0063957031816244125, 0.006353387609124184, 0.007506152149289846, 0.0062348246574401855, 0.006909442599862814, 0.0048802681267261505, 0.005596982780843973, 0.005832558032125235, 0.0054250131361186504, 0.005484121385961771, 0.00569578493013978, 0.0052641103975474834, 0.005875367671251297]"
91,9,0.00341689761582491,0.9542592507355219,"[0.13292337 0.29722485 0.54888048 0.78503101 0.93818985 0.84878587
 0.62472406 0.37070325 0.34200568 0.22011984 0.24787133 0.1162094 ]","[0.14128101 0.29655546 0.5501268  0.7824908  0.90297055 0.79836166
 0.5687697  0.4548841  0.39444304 0.3737951  0.27103385 0.1115302 ]","[0.21692337095737457, 0.08031116425991058, 0.06790323555469513, 0.06566831469535828, 0.06513877958059311, 0.06448076665401459, 0.06340224295854568, 0.0622069351375103, 0.057469550520181656, 0.042406417429447174, 0.02210909314453602, 0.01610218733549118, 0.014842309057712555, 0.014103648252785206, 0.013801302760839462, 0.01322541106492281, 0.012988859787583351, 0.01283945981413126, 0.012437599711120129, 0.013381618075072765, 0.012777965515851974, 0.011913571506738663, 0.011959337629377842, 0.011465177871286869, 0.011063147336244583, 0.010987493209540844, 0.010715915821492672, 0.01042257435619831, 0.010661412961781025, 0.009724663570523262, 0.009509416297078133, 0.009245874360203743, 0.008618061430752277, 0.008665536530315876, 0.00828105304390192, 0.007850277237594128, 0.007921839132905006, 0.0077402363531291485, 0.007332950830459595, 0.007441364228725433, 0.007023561745882034, 0.0069303857162594795, 0.007001737132668495, 0.006384297274053097, 0.006280537694692612, 0.006203613709658384, 0.006112679373472929, 0.00587623892351985, 0.0062023950740695, 0.006020153872668743]","[0.10668990015983582, 0.072118379175663, 0.06652817875146866, 0.06563732773065567, 0.06539486348628998, 0.06385085731744766, 0.06302201747894287, 0.06033584475517273, 0.055742863565683365, 0.03428380563855171, 0.026537632569670677, 0.01780925877392292, 0.016804339364171028, 0.01701631397008896, 0.01773972250521183, 0.015786636620759964, 0.015497089363634586, 0.015247547067701817, 0.01664651557803154, 0.015371464192867279, 0.014353666454553604, 0.014422018080949783, 0.014109385199844837, 0.013545478694140911, 0.013405251316726208, 0.013134680688381195, 0.012706573121249676, 0.013140535913407803, 0.012141802348196507, 0.011420813389122486, 0.011070117354393005, 0.009979071095585823, 0.009497235529124737, 0.009348060004413128, 0.008123322390019894, 0.009557445533573627, 0.008731802925467491, 0.007880893535912037, 0.007228111382573843, 0.00798675138503313, 0.007622990757226944, 0.006811732891947031, 0.006163022015243769, 0.006088254973292351, 0.0063372403383255005, 0.006256345193833113, 0.0058527737855911255, 0.006219977978616953, 0.006129350978881121, 0.00687396852299571]"
92,9,0.0045936435959560646,0.9436863337821295,"[0.1702364  0.30033317 0.5644931  0.81987414 0.96366809 0.87529748
 0.68998889 0.40599714 0.37204506 0.18261145 0.22814533 0.12644772]","[0.11378428 0.27822167 0.53321874 0.7591273  0.8792471  0.8148539
 0.6495746  0.5031154  0.4074783  0.33085987 0.22940862 0.16767149]","[0.2278333306312561, 0.081990547478199, 0.0691564604640007, 0.06742798537015915, 0.06705179065465927, 0.06668586283922195, 0.06606484949588776, 0.06562609225511551, 0.06179119646549225, 0.05392251908779144, 0.029871495440602303, 0.01873721368610859, 0.014859342947602272, 0.015071474015712738, 0.013599754311144352, 0.012979688122868538, 0.01271691732108593, 0.012448118068277836, 0.012112689204514027, 0.012269925326108932, 0.012201222591102123, 0.011362171731889248, 0.010989582166075706, 0.010279618203639984, 0.010134234093129635, 0.009645184502005577, 0.009245460852980614, 0.009151925332844257, 0.009123984724283218, 0.008175099268555641, 0.007905282080173492, 0.008632075972855091, 0.008769985288381577, 0.007954712025821209, 0.008098204620182514, 0.007899947464466095, 0.007688954006880522, 0.0070823729038238525, 0.006863120943307877, 0.006674954202026129, 0.006441939622163773, 0.0064779771491885185, 0.006336291786283255, 0.006250305101275444, 0.005974353291094303, 0.006222897674888372, 0.0073824780993163586, 0.006448854226619005, 0.006113164592534304, 0.006079238373786211]","[0.1179651990532875, 0.06946086883544922, 0.0668136402964592, 0.06569817662239075, 0.06536857038736343, 0.06604725122451782, 0.06767690926790237, 0.06399949640035629, 0.059875521808862686, 0.04390513896942139, 0.028146633878350258, 0.01872164197266102, 0.016105743125081062, 0.01528917532414198, 0.014875209890305996, 0.014459340833127499, 0.013948558829724789, 0.014504790306091309, 0.01505353581160307, 0.013858580030500889, 0.013194535858929157, 0.012605332769453526, 0.01248942781239748, 0.011978748254477978, 0.011575776152312756, 0.011224922724068165, 0.011310865171253681, 0.010860691778361797, 0.01091567799448967, 0.009593813680112362, 0.009090247564017773, 0.010705542750656605, 0.008394318632781506, 0.008466036058962345, 0.009626270271837711, 0.008738008327782154, 0.008220593445003033, 0.008833565749228, 0.008349734358489513, 0.007620060350745916, 0.007749214768409729, 0.00832050759345293, 0.006545171141624451, 0.007204828318208456, 0.007955823093652725, 0.008482557721436024, 0.007561300415545702, 0.007387658581137657, 0.00591009808704257, 0.006383217871189117]"
93,2,0.005370144112603909,0.9308066684754269,"[0.18790627 0.31216931 0.5723356  0.79546485 0.95706727 0.88253968
 0.7446712  0.42569917 0.39622071 0.20559335 0.24897959 0.14452003]","[0.19060828 0.37055615 0.62719554 0.846298   0.9290853  0.8654273
 0.6691828  0.50738263 0.42205095 0.3984193  0.24225605 0.08055893]","[0.11340268701314926, 0.06783339381217957, 0.06524201482534409, 0.056737519800662994, 0.02478279173374176, 0.01535065472126007, 0.012719599530100822, 0.012482068501412868, 0.011320878751575947, 0.010412926785647869, 0.009861055761575699, 0.009537518955767155, 0.008715996518731117, 0.00807184912264347, 0.007960676215589046, 0.007726557552814484, 0.007272667251527309, 0.007329870946705341, 0.006952148862183094, 0.006830563303083181, 0.0069293915294110775, 0.006705082021653652, 0.00656846771016717, 0.006750000640749931, 0.006286643445491791, 0.006175815127789974, 0.006005486473441124, 0.006217170972377062, 0.00618222588673234, 0.0059691839851439, 0.006057861726731062, 0.005895150825381279, 0.005743660498410463, 0.005582874175161123, 0.005548573099076748, 0.005694596096873283, 0.0053285774774849415, 0.0058796824887394905, 0.005526251159608364, 0.005477700382471085, 0.005236124154180288, 0.005237168166786432, 0.005444013513624668, 0.005107244476675987, 0.004992204252630472, 0.005036396440118551, 0.004951565992087126, 0.0049311076290905476, 0.005227971356362104, 0.004755733069032431]","[0.08385753631591797, 0.065251924097538, 0.061643581837415695, 0.04120399057865143, 0.02682807296514511, 0.0180044025182724, 0.017615796998143196, 0.013398057781159878, 0.012123887427151203, 0.010625752620398998, 0.009207705967128277, 0.00951035413891077, 0.00988962035626173, 0.008447886444628239, 0.013549059629440308, 0.008584975264966488, 0.0064212302677333355, 0.0079161636531353, 0.009074832312762737, 0.008086046203970909, 0.00884870532900095, 0.008393417112529278, 0.006503337528556585, 0.006567312870174646, 0.00732429837808013, 0.006486472208052874, 0.0055465251207351685, 0.0069219996221363544, 0.006953185889869928, 0.005991445854306221, 0.005888322833925486, 0.006431443151086569, 0.007349089253693819, 0.006386810448020697, 0.008706480264663696, 0.007182075176388025, 0.005592099856585264, 0.006629737559705973, 0.006795863155275583, 0.0065106116235256195, 0.006749516818672419, 0.006362736225128174, 0.007273587863892317, 0.005720591638237238, 0.006354802753776312, 0.007635843008756638, 0.005619230214506388, 0.007527078036218882, 0.00689684459939599, 0.007215504068881273]"
