cell,batchsize,mse,nse,y_test,yhat,train_loss,test_loss
5,9,0.0034816744040708524,0.9495006548546419,"[0.14742057 0.2953536  0.54304749 0.79939643 0.96805603 0.85104202
 0.63136317 0.39648104 0.40177656 0.28407926 0.30013666 0.1732149 ]","[0.12160568 0.25347978 0.5438851  0.8458861  0.941385   0.854414
 0.6707903  0.52506816 0.42897767 0.40943962 0.29235697 0.12996253]","[0.19310064613819122, 0.06664606928825378, 0.06520052999258041, 0.06416688859462738, 0.06377661973237991, 0.06420553475618362, 0.06382330507040024, 0.0648508220911026, 0.06417246162891388, 0.06394577771425247, 0.06328880786895752, 0.063672736287117, 0.06368215382099152, 0.06366211175918579, 0.06281715631484985, 0.06200608238577843, 0.060688942670822144, 0.05506966635584831, 0.048293568193912506, 0.021750353276729584, 0.01788594014942646, 0.0141792893409729, 0.012747211381793022, 0.011486644856631756, 0.010253844782710075, 0.009932465851306915, 0.008673404343426228, 0.007704943418502808, 0.007855473086237907, 0.007104743737727404, 0.006936188787221909, 0.006846059113740921, 0.006685247179120779, 0.006427020765841007, 0.00609568040817976, 0.006156090181320906, 0.0065850261598825455, 0.006092732306569815, 0.006019041407853365, 0.006048179697245359, 0.005683251656591892, 0.005770077928900719, 0.005977981258183718, 0.00570304412394762, 0.0053410776890814304, 0.005281523801386356, 0.0052827331237494946, 0.005249875131994486, 0.00541835930198431, 0.005366327706724405]","[0.07564868032932281, 0.06629853695631027, 0.06526196748018265, 0.06497561931610107, 0.0646868348121643, 0.06463542580604553, 0.06553692370653152, 0.06615159660577774, 0.06592906266450882, 0.06464008241891861, 0.06455817073583603, 0.06437458842992783, 0.0640578642487526, 0.06524146348237991, 0.06353678554296494, 0.06439445167779922, 0.061264872550964355, 0.0721093937754631, 0.04227103292942047, 0.035206545144319534, 0.02032308466732502, 0.01848430186510086, 0.015170171856880188, 0.01260396372526884, 0.012326326221227646, 0.009586244821548462, 0.010060479864478111, 0.00910439807921648, 0.008375552482903004, 0.006489831954240799, 0.007456957828253508, 0.006974566262215376, 0.005931857507675886, 0.0054728128015995026, 0.006528762634843588, 0.005467448383569717, 0.006178980693221092, 0.007322608958929777, 0.005774285178631544, 0.005093654152005911, 0.006001135800033808, 0.007672175299376249, 0.004538169130682945, 0.004579294938594103, 0.004964834079146385, 0.004505507182329893, 0.005419634748250246, 0.004626719746738672, 0.005568394437432289, 0.0046705082058906555]"
6,11,0.002136114538880731,0.9667035569206015,"[0.16926223 0.31068114 0.55749567 0.80656494 0.96554979 0.86345761
 0.66886896 0.46783074 0.46075193 0.34985056 0.32861413 0.18845367]","[0.13813788 0.2907919  0.51436055 0.7662058  0.878326   0.8192274
 0.6370687  0.50507843 0.44666967 0.43810654 0.30772552 0.16863307]","[0.23299360275268555, 0.07935839146375656, 0.06557131558656693, 0.06380001455545425, 0.06356287747621536, 0.06346946209669113, 0.06357073783874512, 0.06377959251403809, 0.06314483284950256, 0.06354318559169769, 0.0631478950381279, 0.06362669169902802, 0.06353335082530975, 0.06360989063978195, 0.06291834264993668, 0.06304973363876343, 0.06252025067806244, 0.06282515823841095, 0.06244916841387749, 0.061950452625751495, 0.06214936077594757, 0.061548445373773575, 0.060536809265613556, 0.059265922755002975, 0.05813033878803253, 0.048282820731401443, 0.02618790604174137, 0.01725585013628006, 0.014036796055734158, 0.011882334016263485, 0.009932254441082478, 0.008781887590885162, 0.007679974660277367, 0.007910356856882572, 0.006850447040051222, 0.006229661405086517, 0.006564666982740164, 0.0059426650404930115, 0.0057561565190553665, 0.005846214015036821, 0.005507545545697212, 0.005447490140795708, 0.0052374000661075115, 0.005059217102825642, 0.005216842517256737, 0.005006561521440744, 0.004788901656866074, 0.004607692826539278, 0.004643931984901428, 0.004790086764842272]","[0.11228910833597183, 0.06548473238945007, 0.06019392982125282, 0.05966569855809212, 0.06060586869716644, 0.059476763010025024, 0.05940842255949974, 0.05978475138545036, 0.060602206736803055, 0.05936085805296898, 0.0593627393245697, 0.05916829779744148, 0.0589933842420578, 0.05926957726478577, 0.05879180505871773, 0.059173863381147385, 0.0588013231754303, 0.05837203562259674, 0.0589829683303833, 0.05873332545161247, 0.058706749230623245, 0.058443810790777206, 0.058505166321992874, 0.05726172402501106, 0.05672171711921692, 0.04636706784367561, 0.022813251242041588, 0.016101958230137825, 0.014730428345501423, 0.012687268666923046, 0.010809087194502354, 0.009968946687877178, 0.006654560100287199, 0.008859045803546906, 0.0069910865277051926, 0.00716394605115056, 0.007572141941636801, 0.005453769583255053, 0.00490057235583663, 0.004892261698842049, 0.004829637706279755, 0.004801083821803331, 0.004568273667246103, 0.004000531043857336, 0.004571933299303055, 0.0049753449857234955, 0.004512538202106953, 0.004866480827331543, 0.004905950743705034, 0.004100461024791002]"
7,7,0.0026371230257612286,0.9581445950635824,"[0.18005451 0.31281065 0.53904121 0.80765325 0.95302229 0.8377425
 0.62978996 0.44155844 0.42344076 0.29469296 0.31297098 0.18294052]","[0.13133909 0.3295086  0.57054675 0.7914702  0.8728053  0.78786755
 0.59679914 0.4675848  0.4290465  0.3797828  0.23387735 0.12358209]","[0.17444096505641937, 0.06427467614412308, 0.06165996193885803, 0.06047022342681885, 0.06044306233525276, 0.060604412108659744, 0.06020256504416466, 0.06124686822295189, 0.06087720766663551, 0.06058009713888168, 0.05993550643324852, 0.060448989272117615, 0.06033063679933548, 0.060907911509275436, 0.05971044674515724, 0.05940813198685646, 0.059221915900707245, 0.05787906423211098, 0.05598049610853195, 0.04169732332229614, 0.021122440695762634, 0.015821542590856552, 0.012703940272331238, 0.011118276044726372, 0.010459797456860542, 0.00934905931353569, 0.008400874212384224, 0.00736274104565382, 0.007442879490554333, 0.0064410194754600525, 0.005905487574636936, 0.005929114762693644, 0.005883769132196903, 0.005653831642121077, 0.005733744241297245, 0.005975411739200354, 0.00565757229924202, 0.005415566265583038, 0.005367097444832325, 0.005400901194661856, 0.005299583077430725, 0.0052590081468224525, 0.005143851973116398, 0.005049682687968016, 0.004961458034813404, 0.004811604041606188, 0.004810985643416643, 0.00485282251611352, 0.0047980984672904015, 0.00468072947114706]","[0.06610465794801712, 0.05821878835558891, 0.05664093419909477, 0.05690377950668335, 0.05704941228032112, 0.05663754418492317, 0.05746302008628845, 0.05739839747548103, 0.05650460720062256, 0.0571143664419651, 0.056680068373680115, 0.05607348307967186, 0.055809348821640015, 0.05661802366375923, 0.05564231798052788, 0.056101661175489426, 0.05520467832684517, 0.055007144808769226, 0.05305672809481621, 0.04250716045498848, 0.02677989937365055, 0.017914121970534325, 0.014474883675575256, 0.013683851808309555, 0.013244609348475933, 0.00893215648829937, 0.007835657335817814, 0.006139108445495367, 0.005378862377256155, 0.005184265784919262, 0.005529854446649551, 0.005521297454833984, 0.004623963963240385, 0.004840691573917866, 0.005353113170713186, 0.005955568049103022, 0.004982665181159973, 0.00460605975240469, 0.004568764939904213, 0.005512909963726997, 0.0045258719474077225, 0.004359670449048281, 0.003579980693757534, 0.0044609918259084225, 0.004048249218612909, 0.0041348994709551334, 0.004136332776397467, 0.005322725046426058, 0.004234620835632086, 0.004732542205601931]"
48,4,0.0033783267233743887,0.9509996434422481,"[0.14742057 0.2953536  0.54304749 0.79939643 0.96805603 0.85104202
 0.63136317 0.39648104 0.40177656 0.28407926 0.30013666 0.1732149 ]","[0.1280451  0.329865   0.5648321  0.7928103  0.8828689  0.8222859
 0.5842724  0.45068705 0.45539215 0.40716478 0.23775849 0.11576737]","[0.133734330534935, 0.06478502601385117, 0.06478215008974075, 0.06409502774477005, 0.06472984701395035, 0.06410837173461914, 0.0635577142238617, 0.06420151144266129, 0.06460420787334442, 0.0634712427854538, 0.06264600157737732, 0.06285841017961502, 0.0601067878305912, 0.044444117695093155, 0.01985330320894718, 0.01452254131436348, 0.01351142954081297, 0.012128898873925209, 0.009859255515038967, 0.009931815788149834, 0.008259383961558342, 0.007551809772849083, 0.007379739545285702, 0.006550658959895372, 0.007061988580971956, 0.006454037968069315, 0.006565880961716175, 0.00608795415610075, 0.006000329740345478, 0.005929084029048681, 0.005696714390069246, 0.006347920745611191, 0.00571190332993865, 0.005538636352866888, 0.0053141480311751366, 0.005459542851895094, 0.005168856121599674, 0.005102728493511677, 0.00510172126814723, 0.005317999981343746, 0.004822505172342062, 0.004948383197188377, 0.004703218583017588, 0.00447282288223505, 0.004443489946424961, 0.004395946394652128, 0.0044737462885677814, 0.004480503033846617, 0.004658249672502279, 0.004453335888683796]","[0.06755808740854263, 0.06706161797046661, 0.06526606529951096, 0.06614923477172852, 0.06524733453989029, 0.06552020460367203, 0.0659930631518364, 0.06733632832765579, 0.06574242562055588, 0.0637848749756813, 0.06459740549325943, 0.06354279816150665, 0.060479938983917236, 0.036372993141412735, 0.02688496746122837, 0.01928454078733921, 0.016501454636454582, 0.01463970635086298, 0.018552443012595177, 0.01482971478253603, 0.010554052889347076, 0.007817575708031654, 0.011142666451632977, 0.008233568631112576, 0.006834720727056265, 0.005864743608981371, 0.005713337566703558, 0.0054318769834935665, 0.0061058602295815945, 0.005413810256868601, 0.005476071964949369, 0.005913678556680679, 0.005711857229471207, 0.005675858352333307, 0.006469552870839834, 0.005719285923987627, 0.005607256665825844, 0.004605818074196577, 0.0043906462378799915, 0.005801822524517775, 0.005192707758396864, 0.004351407755166292, 0.004231706261634827, 0.004990424029529095, 0.004170835483819246, 0.005462608765810728, 0.004144048318266869, 0.0058324444107711315, 0.004526920150965452, 0.005036278162151575]"
49,8,0.00256961573237514,0.9643250960888208,"[0.15313887 0.30802156 0.5389981  0.80083492 0.95656309 0.87428662
 0.68753963 0.42771084 0.42390615 0.27155992 0.27457197 0.15535828]","[0.09475214 0.290991   0.53992945 0.80618757 0.905236   0.8291147
 0.6595322  0.5180469  0.4293084  0.38620415 0.2647667  0.14058682]","[0.19738228619098663, 0.0719941034913063, 0.06713909655809402, 0.06529142707586288, 0.06522569805383682, 0.06563274562358856, 0.06540220230817795, 0.06627629697322845, 0.06541118025779724, 0.06549510359764099, 0.06475777924060822, 0.06577742099761963, 0.0648510605096817, 0.06497311592102051, 0.06475027650594711, 0.06500375270843506, 0.06401080638170242, 0.06377451121807098, 0.06348861008882523, 0.06120934337377548, 0.058344267308712006, 0.03867971897125244, 0.022678013890981674, 0.015124933794140816, 0.013375666923820972, 0.012785699218511581, 0.011690417304635048, 0.011155243031680584, 0.010752522386610508, 0.010105871595442295, 0.008934992365539074, 0.010096855461597443, 0.008435861207544804, 0.007907976396381855, 0.007926501333713531, 0.006820205133408308, 0.007077398244291544, 0.007539459969848394, 0.006560887210071087, 0.00650838203728199, 0.005999598652124405, 0.006318911910057068, 0.006094774231314659, 0.005827164277434349, 0.005703600123524666, 0.005519808270037174, 0.005612931679934263, 0.005883124191313982, 0.005436340346932411, 0.005602180026471615]","[0.10498499125242233, 0.06656709313392639, 0.06430471688508987, 0.0634189173579216, 0.06378393620252609, 0.06492633372545242, 0.06560615450143814, 0.06520751863718033, 0.06450162082910538, 0.06362756341695786, 0.0632888600230217, 0.06286162883043289, 0.06251106411218643, 0.06329146772623062, 0.06247897073626518, 0.0624735951423645, 0.06199393793940544, 0.0616462342441082, 0.06154860183596611, 0.06284334510564804, 0.058075159788131714, 0.05276129022240639, 0.023506296798586845, 0.017696935683488846, 0.01956901140511036, 0.014184175990521908, 0.014343400485813618, 0.013844112865626812, 0.013917355798184872, 0.011819417588412762, 0.009912293404340744, 0.012629445642232895, 0.008621254935860634, 0.007838636636734009, 0.008154870010912418, 0.010773017071187496, 0.010644529946148396, 0.00665154168382287, 0.006506793666630983, 0.0059756808914244175, 0.006151612848043442, 0.0056444802321493626, 0.005417490378022194, 0.006824833806604147, 0.006187246646732092, 0.005567658226937056, 0.0045022605918347836, 0.006032815668731928, 0.005352333653718233, 0.0062164305709302425]"
50,10,0.0033838484697102343,0.9547628686831124,"[0.17784347 0.30854209 0.5654271  0.82158602 0.97541621 0.89248483
 0.70997355 0.43130543 0.41543488 0.26995488 0.28240237 0.16352886]","[0.11668128 0.271654   0.54594123 0.81176126 0.92696387 0.8307413
 0.67281526 0.5244139  0.4250031  0.4004826  0.2454857  0.14545351]","[0.2195325791835785, 0.07551021128892899, 0.06866408884525299, 0.0665891245007515, 0.0667334571480751, 0.06708936393260956, 0.06726761907339096, 0.06735113263130188, 0.06630183756351471, 0.06696950644254684, 0.0659998431801796, 0.0665866956114769, 0.06600424647331238, 0.06586463004350662, 0.06548110395669937, 0.06505917012691498, 0.06403263658285141, 0.06300920993089676, 0.06030338257551193, 0.042148176580667496, 0.023401616141200066, 0.01657973974943161, 0.014369631186127663, 0.012925098650157452, 0.0119757279753685, 0.010549182072281837, 0.00941784493625164, 0.009037469513714314, 0.00869949720799923, 0.00766872288659215, 0.007151218131184578, 0.00711880624294281, 0.0069700321182608604, 0.006441911216825247, 0.006540429312735796, 0.006380524020642042, 0.0062836697325110435, 0.0061682406812906265, 0.006154810078442097, 0.006537603680044413, 0.0058450098149478436, 0.006127853877842426, 0.006655200384557247, 0.006592088378965855, 0.006314968224614859, 0.005671286024153233, 0.005551343318074942, 0.0055262683890759945, 0.005378854926675558, 0.00536384480074048]","[0.11228659749031067, 0.06547117978334427, 0.06444507837295532, 0.06409341096878052, 0.06432104855775833, 0.06577751785516739, 0.0645594596862793, 0.06506334990262985, 0.06620606780052185, 0.06425148993730545, 0.06339243054389954, 0.06324677914381027, 0.06306106597185135, 0.06373989582061768, 0.06285301595926285, 0.06298080086708069, 0.06169526278972626, 0.06178463622927666, 0.056071687489748, 0.0444694422185421, 0.02288474701344967, 0.01851888746023178, 0.01785069890320301, 0.015145473182201385, 0.014605921693146229, 0.012289267964661121, 0.010102582164108753, 0.010917901992797852, 0.009369773790240288, 0.009490885771811008, 0.011267152614891529, 0.010095012374222279, 0.007042907178401947, 0.00888854917138815, 0.007566346321254969, 0.008484184741973877, 0.008651360869407654, 0.006893746089190245, 0.006110525224357843, 0.00840293150395155, 0.007444964721798897, 0.006807080004364252, 0.009412199258804321, 0.006411112379282713, 0.00803518295288086, 0.00783564243465662, 0.00854084175080061, 0.007740375120192766, 0.00761748431250453, 0.00920848548412323]"
91,10,0.0029510085039493425,0.9604959365971806,"[0.13292337 0.29722485 0.54888048 0.78503101 0.93818985 0.84878587
 0.62472406 0.37070325 0.34200568 0.22011984 0.24787133 0.1162094 ]","[0.09090284 0.2680579  0.5269379  0.7685824  0.8589102  0.7786876
 0.60830617 0.46837252 0.36469772 0.3219499  0.2393377  0.1073406 ]","[0.20505233108997345, 0.07439001649618149, 0.06821469962596893, 0.06642185151576996, 0.06640413403511047, 0.06674811244010925, 0.06703897565603256, 0.06716816872358322, 0.06596767157316208, 0.0668334886431694, 0.06572156399488449, 0.06636718660593033, 0.0658169835805893, 0.06569463759660721, 0.06521599739789963, 0.06504511833190918, 0.06424616277217865, 0.06412360072135925, 0.06348779052495956, 0.05953959375619888, 0.049741148948669434, 0.029562193900346756, 0.019687915220856667, 0.01625366322696209, 0.013956131413578987, 0.01261922251433134, 0.011650714091956615, 0.011559229344129562, 0.012102480046451092, 0.009820878505706787, 0.008664914406836033, 0.008086282759904861, 0.0076276278123259544, 0.007369170431047678, 0.007372950203716755, 0.007173598278313875, 0.007016690447926521, 0.006984154228121042, 0.006718968506902456, 0.007054551970213652, 0.00638678390532732, 0.006776905618607998, 0.006371551193296909, 0.006298419553786516, 0.006214016582816839, 0.005965461954474449, 0.005792308133095503, 0.006184405647218227, 0.006045448128134012, 0.005859449505805969]","[0.10580804198980331, 0.06746003031730652, 0.06753163784742355, 0.0665421187877655, 0.0662204921245575, 0.06733200699090958, 0.06603571027517319, 0.06612156331539154, 0.06707019358873367, 0.065755195915699, 0.0655856803059578, 0.06574653834104538, 0.06596212834119797, 0.06605108827352524, 0.06534900516271591, 0.06526649743318558, 0.06455940008163452, 0.06384582072496414, 0.06274554878473282, 0.061557069420814514, 0.05248624086380005, 0.031040629372000694, 0.02140606753528118, 0.01770193874835968, 0.018511030822992325, 0.015448017977178097, 0.013865862973034382, 0.015368645079433918, 0.011864200234413147, 0.01230607833713293, 0.012704036198556423, 0.010675135999917984, 0.010178884491324425, 0.01021595299243927, 0.009520639665424824, 0.013059962540864944, 0.010715872049331665, 0.01032096054404974, 0.010154484771192074, 0.008511919528245926, 0.008293143473565578, 0.008616059087216854, 0.008207657374441624, 0.009373546577990055, 0.007925051264464855, 0.007852377369999886, 0.009665586054325104, 0.011843430809676647, 0.008529688231647015, 0.00924268551170826]"
92,3,0.0061881268588015355,0.9241394977296097,"[0.1702364  0.30033317 0.5644931  0.81987414 0.96366809 0.87529748
 0.68998889 0.40599714 0.37204506 0.18261145 0.22814533 0.12644772]","[0.19473107 0.33604622 0.58054775 0.8105224  0.88722605 0.80945396
 0.5536555  0.42360383 0.42405778 0.3663052  0.1852851  0.05806903]","[0.12359672784805298, 0.06889141350984573, 0.06915631145238876, 0.06862430274486542, 0.06850931793451309, 0.06801429390907288, 0.06741839647293091, 0.06742912530899048, 0.06778065115213394, 0.06230892986059189, 0.031897250562906265, 0.01508350484073162, 0.012093615718185902, 0.010300378315150738, 0.008642912842333317, 0.008752680383622646, 0.008081607520580292, 0.00730857951566577, 0.007096430286765099, 0.007877511903643608, 0.007620729506015778, 0.006532994564622641, 0.006302377209067345, 0.0062365480698645115, 0.006456198636442423, 0.005941778887063265, 0.0060157738626003265, 0.006320414133369923, 0.005736004561185837, 0.005689084064215422, 0.005596949253231287, 0.0055172741413116455, 0.005344666540622711, 0.00533725181594491, 0.00512414425611496, 0.005177004262804985, 0.004690422676503658, 0.004720994736999273, 0.004894366953521967, 0.004810382146388292, 0.004623575136065483, 0.004517035558819771, 0.0048638456501066685, 0.00484347203746438, 0.00461497763171792, 0.004394119139760733, 0.004270652309060097, 0.004193420987576246, 0.00451572984457016, 0.004009245429188013]","[0.07165821641683578, 0.0681183934211731, 0.06988279521465302, 0.06816533207893372, 0.06662935018539429, 0.06620001047849655, 0.06733497977256775, 0.07294488698244095, 0.06607160717248917, 0.05511170253157616, 0.03520197421312332, 0.01337078120559454, 0.011416181921958923, 0.011431136168539524, 0.015003171749413013, 0.008217631839215755, 0.008328237570822239, 0.007659298833459616, 0.012616214342415333, 0.012279423885047436, 0.008044549264013767, 0.007456893566995859, 0.007665203418582678, 0.007276507094502449, 0.007192535791546106, 0.006595189217478037, 0.005661906208842993, 0.006592391524463892, 0.006666882429271936, 0.009467444382607937, 0.007085281889885664, 0.006807519588619471, 0.0066161975264549255, 0.0057435352355241776, 0.008721900172531605, 0.006165123078972101, 0.007634773384779692, 0.006297264713793993, 0.006052876356989145, 0.006325963884592056, 0.006053871009498835, 0.00608334643766284, 0.006929179187864065, 0.00814496073871851, 0.005888678133487701, 0.006752282381057739, 0.005976166110485792, 0.007408017758280039, 0.006117397453635931, 0.007212418597191572]"
93,3,0.005273737486249364,0.9320488503459021,"[0.18790627 0.31216931 0.5723356  0.79546485 0.95706727 0.88253968
 0.7446712  0.42569917 0.39622071 0.20559335 0.24897959 0.14452003]","[0.15502319 0.31982014 0.58341604 0.80437446 0.9089145  0.864877
 0.6448725  0.47704524 0.45240194 0.39851505 0.2163303  0.07189145]","[0.12120639532804489, 0.0679040476679802, 0.06789766997098923, 0.06705255061388016, 0.0672210231423378, 0.06668597459793091, 0.0658990666270256, 0.06371407955884933, 0.040419165045022964, 0.014985565096139908, 0.011868095025420189, 0.009965275414288044, 0.009004155173897743, 0.008102033287286758, 0.007732267025858164, 0.007576426491141319, 0.007412266451865435, 0.007445784285664558, 0.007067782338708639, 0.007379173766821623, 0.007627647835761309, 0.006919951643794775, 0.006743145175278187, 0.007059244439005852, 0.007304278668016195, 0.006610342301428318, 0.006586140487343073, 0.006947001442313194, 0.006401009391993284, 0.006491346750408411, 0.006050654221326113, 0.006379957776516676, 0.005943541880697012, 0.005881044548004866, 0.005800541024655104, 0.005997444037348032, 0.005575611721724272, 0.005666402168571949, 0.005840560887008905, 0.0056844670325517654, 0.00556859839707613, 0.0056182947009801865, 0.005649922415614128, 0.0054945875890553, 0.005299736279994249, 0.005369049496948719, 0.005251956172287464, 0.0052399528212845325, 0.005723275244235992, 0.005186107940971851]","[0.07156109809875488, 0.06587949395179749, 0.06932788342237473, 0.06538378447294235, 0.06537071615457535, 0.0643276572227478, 0.06527578085660934, 0.06752537935972214, 0.020009374246001244, 0.013233564794063568, 0.01220738235861063, 0.009655982255935669, 0.008434263058006763, 0.007278451230376959, 0.009379124268889427, 0.007470209617167711, 0.006626761052757502, 0.007353657856583595, 0.008447892963886261, 0.008251597173511982, 0.007145086769014597, 0.007269207388162613, 0.00711347721517086, 0.0058788396418094635, 0.006749739404767752, 0.005594357848167419, 0.005797538440674543, 0.006230206694453955, 0.005954625550657511, 0.006086159963160753, 0.005949066486209631, 0.006550995167344809, 0.006499981041997671, 0.005395929794758558, 0.007535528391599655, 0.006510552484542131, 0.006253817584365606, 0.005458276253193617, 0.006391407456248999, 0.006086442619562149, 0.0057494863867759705, 0.0060652196407318115, 0.0060386634431779385, 0.004774972330778837, 0.005336655769497156, 0.00674269488081336, 0.005310076754540205, 0.007957818917930126, 0.006819492671638727, 0.0062553114257752895]"
