cell,batchsize,mse,nse,y_test,yhat,train_loss,test_loss
1941,3,0.0025607637326574575,0.9557468301464634,"[0.15596639 0.31478992 0.45058824 0.52907563 0.70252101 0.8194958
 0.82890756 0.74789916 0.69159664 0.55092437 0.31109244 0.10705882]","[0.15241084 0.25129998 0.42654386 0.5703551  0.7111558  0.778043
 0.88337123 0.8547675  0.7588109  0.5918845  0.34307325 0.13876268]","[0.12009076029062271, 0.05567019432783127, 0.04737969487905502, 0.031011171638965607, 0.013074281625449657, 0.010837464593350887, 0.009318523108959198, 0.009127398021519184, 0.008270113728940487, 0.009027210995554924, 0.007804243825376034, 0.007464973255991936, 0.007471669930964708, 0.0071785482577979565, 0.006821836344897747, 0.006651327945291996, 0.006527582183480263, 0.006232159677892923, 0.0061156973242759705, 0.006147752981632948, 0.00616916548460722, 0.005821040831506252, 0.006083941087126732, 0.00581265427172184, 0.005514989141374826, 0.0054979887790977955, 0.005732255056500435, 0.005431320983916521, 0.005380051210522652, 0.005341778974980116, 0.005472182761877775, 0.005181734450161457, 0.005098975263535976, 0.004896223079413176, 0.005179132334887981, 0.004970005247741938, 0.004794123582541943, 0.005140567664057016, 0.004853641148656607, 0.004820742644369602, 0.00468808226287365, 0.004617833532392979, 0.004710531793534756, 0.004776202142238617, 0.004576950334012508, 0.004455346614122391, 0.004493736196309328, 0.004487668629735708, 0.004711109213531017, 0.004519186913967133]","[0.04140612110495567, 0.032100338488817215, 0.027954550459980965, 0.015481767244637012, 0.025484994053840637, 0.017163125798106194, 0.009818525053560734, 0.010654740035533905, 0.010944108478724957, 0.01009547058492899, 0.008167763240635395, 0.008051829412579536, 0.007384799420833588, 0.008112127892673016, 0.00752716138958931, 0.007986665703356266, 0.008079937659204006, 0.00747555261477828, 0.00673501705750823, 0.0065794275142252445, 0.006651857402175665, 0.006681052502244711, 0.006206235382705927, 0.005942225456237793, 0.006046293769031763, 0.005596041679382324, 0.00586936017498374, 0.005575849208980799, 0.006090377923101187, 0.00712999003008008, 0.006369789596647024, 0.0055763088166713715, 0.005745870992541313, 0.0056179906241595745, 0.005305429454892874, 0.00570765370503068, 0.005541684105992317, 0.0049657453782856464, 0.005121452268213034, 0.004802268464118242, 0.00522184930741787, 0.004668122623115778, 0.005387281533330679, 0.005236088763922453, 0.004611279349774122, 0.0049336994998157024, 0.005597252398729324, 0.006256657186895609, 0.005782986059784889, 0.0053467960096895695]"
1942,2,0.003038324655518672,0.957297850580933,"[0.09432299 0.26956982 0.43459097 0.51169487 0.70098731 0.8221086
 0.88134697 0.77450635 0.71015515 0.53931594 0.23007757 0.11424542]","[0.124319   0.18874142 0.3767618  0.5505438  0.6819248  0.76063776
 0.82675296 0.83951277 0.7441321  0.6029425  0.31178206 0.08347741]","[0.11020548641681671, 0.06014085188508034, 0.03585568070411682, 0.014127008616924286, 0.01044688280671835, 0.009963213466107845, 0.008912350982427597, 0.008578053675591946, 0.007745170034468174, 0.008177305571734905, 0.007170765660703182, 0.006932766176760197, 0.007005415391176939, 0.006702604703605175, 0.00615654094144702, 0.006038424093276262, 0.005885484162718058, 0.005579172167927027, 0.005659105721861124, 0.005915836431086063, 0.005438836757093668, 0.00529268616810441, 0.005241435021162033, 0.00516163045540452, 0.0049499329179525375, 0.004741683602333069, 0.004560473375022411, 0.004689967259764671, 0.00465675164014101, 0.0045896777883172035, 0.004760331939905882, 0.004367518704384565, 0.004328574053943157, 0.0042027682065963745, 0.004192230757325888, 0.00419909693300724, 0.004105580039322376, 0.004221287555992603, 0.004105253145098686, 0.004132221918553114, 0.004251840058714151, 0.0042007192969322205, 0.004142042249441147, 0.004091848153620958, 0.00397808151319623, 0.004004521295428276, 0.0038441261276602745, 0.0038720066659152508, 0.003955728840082884, 0.004053837154060602]","[0.05563117936253548, 0.03859037533402443, 0.027651354670524597, 0.016502076759934425, 0.025210998952388763, 0.01569611020386219, 0.009527163580060005, 0.009570835158228874, 0.010692734271287918, 0.008267814293503761, 0.007974552921950817, 0.009515655227005482, 0.009201597422361374, 0.006727607920765877, 0.007820074446499348, 0.006926124449819326, 0.006583598908036947, 0.006308846175670624, 0.006522476673126221, 0.006280239671468735, 0.006010235752910376, 0.005842758808284998, 0.005987062584608793, 0.0065590012818574905, 0.005500802304595709, 0.0049414741806685925, 0.005452393088489771, 0.006012298166751862, 0.00551852211356163, 0.006584359798580408, 0.006134752184152603, 0.004747660830616951, 0.005669170990586281, 0.004735317546874285, 0.0047138165682554245, 0.005172935780137777, 0.005147421266883612, 0.004863988608121872, 0.0049523101188242435, 0.005300523713231087, 0.006116345524787903, 0.004944075830280781, 0.00488478085026145, 0.004883406218141317, 0.004517361521720886, 0.004989300388842821, 0.005616569425910711, 0.006421063095331192, 0.004875695798546076, 0.004816228989511728]"
1943,3,0.005100329343541867,0.9375442376999378,"[0.04689165 0.25577265 0.42699822 0.48993487 0.69253996 0.81207815
 0.91047957 0.77655417 0.70071048 0.50426288 0.2339254  0.03072824]","[0.13315848 0.19936776 0.37632132 0.540246   0.6399265  0.7259273
 0.7924347  0.7932123  0.68420196 0.5514454  0.30120727 0.14927489]","[0.12433920055627823, 0.0648190826177597, 0.05588546395301819, 0.037395376712083817, 0.013325781561434269, 0.010133059695363045, 0.009055961854755878, 0.008440484292805195, 0.0079457126557827, 0.008393283002078533, 0.007605392020195723, 0.007237568963319063, 0.00731205428019166, 0.006760111544281244, 0.006844976916909218, 0.0064231096766889095, 0.006416477728635073, 0.006235805340111256, 0.00619520852342248, 0.006298571825027466, 0.005955860018730164, 0.005763161461800337, 0.0061918022111058235, 0.0056926179677248, 0.005516370292752981, 0.005472230724990368, 0.00540170818567276, 0.00517269317060709, 0.005352760199457407, 0.005224980879575014, 0.005159349180757999, 0.004926876164972782, 0.005014568567276001, 0.004825746640563011, 0.004772296641021967, 0.004697364754974842, 0.004515310749411583, 0.0045711626298725605, 0.004556800704449415, 0.0044199563562870026, 0.0045295599848032, 0.00422482518479228, 0.004522047936916351, 0.004393208306282759, 0.004227891564369202, 0.004385495558381081, 0.0042075300589203835, 0.00422541843727231, 0.004196756519377232, 0.004145733546465635]","[0.06090693175792694, 0.05154210329055786, 0.04442645236849785, 0.023010721430182457, 0.02318197302520275, 0.018960710614919662, 0.009838120080530643, 0.01215497124940157, 0.012069981545209885, 0.010574228130280972, 0.009392044506967068, 0.008184605278074741, 0.008531591854989529, 0.008580688387155533, 0.00875976961106062, 0.008282079361379147, 0.008794688619673252, 0.007659086957573891, 0.008095749653875828, 0.007771201431751251, 0.0071565848775208, 0.007830644957721233, 0.007122480776160955, 0.006581081543117762, 0.006800669711083174, 0.006075824145227671, 0.006380204576998949, 0.005655420478433371, 0.0065575274638831615, 0.006874497979879379, 0.006851311773061752, 0.005665431264787912, 0.005854001734405756, 0.00519861513748765, 0.005348783452063799, 0.005322438199073076, 0.005453869700431824, 0.005535307805985212, 0.005141817033290863, 0.004968011286109686, 0.005257891956716776, 0.005032490938901901, 0.005081405863165855, 0.004506085533648729, 0.0043855588883161545, 0.005077453795820475, 0.005973695311695337, 0.006309805903583765, 0.00484791025519371, 0.005253604147583246]"
1984,3,0.006326892544648113,0.9091033746064527,"[0.03985507 0.24320652 0.4165157  0.46764292 0.59903382 0.69248188
 0.89779589 0.72207126 0.70410628 0.48263889 0.29211957 0.02626812]","[0.12218976 0.19480827 0.35780218 0.4280459  0.58997864 0.64677024
 0.787459   0.71425384 0.67934895 0.61893636 0.34294942 0.1862857 ]","[0.10858224332332611, 0.05947273597121239, 0.048739686608314514, 0.026166485622525215, 0.012535379268229008, 0.009484314359724522, 0.008962304331362247, 0.008252818137407303, 0.007802048698067665, 0.008399170823395252, 0.007520940154790878, 0.0070128063671290874, 0.0069029079750180244, 0.006771269254386425, 0.0065217032097280025, 0.006373079959303141, 0.006218114867806435, 0.0063173165544867516, 0.0058576189912855625, 0.006222066469490528, 0.005897826980799437, 0.005711108911782503, 0.005664681550115347, 0.005326943006366491, 0.0055419402197003365, 0.005406460724771023, 0.0056167347356677055, 0.00514708599075675, 0.005275005474686623, 0.005034495145082474, 0.004974183160811663, 0.004891467746347189, 0.004806152079254389, 0.00468619167804718, 0.004797773435711861, 0.004637630190700293, 0.00465681217610836, 0.004672854207456112, 0.004485172685235739, 0.004684737417846918, 0.0045822663232684135, 0.004478838294744492, 0.004442560486495495, 0.004627545364201069, 0.004502574447542429, 0.004452182445675135, 0.004284781403839588, 0.004410285968333483, 0.0044944072142243385, 0.004320499487221241]","[0.05363858863711357, 0.04476664960384369, 0.03308020532131195, 0.015239313244819641, 0.00955465529114008, 0.009462118148803711, 0.008778241463005543, 0.008635342121124268, 0.009224173612892628, 0.009154100902378559, 0.009076225571334362, 0.00762057164683938, 0.008439580909907818, 0.0071776495315134525, 0.007100571412593126, 0.007027337793260813, 0.007232667412608862, 0.007046328857541084, 0.007225209381431341, 0.007013171445578337, 0.006690485402941704, 0.006567651871591806, 0.006236549001187086, 0.006369320210069418, 0.006947733461856842, 0.0062665194272994995, 0.006387829314917326, 0.006029099225997925, 0.00582425482571125, 0.006349953357130289, 0.005989000201225281, 0.005863543134182692, 0.005549309309571981, 0.005683104041963816, 0.005738465581089258, 0.005850272718816996, 0.005858819931745529, 0.005753862205892801, 0.005685736890882254, 0.0055335573852062225, 0.0059719085693359375, 0.0055910213850438595, 0.005431745667010546, 0.006022986024618149, 0.005799341946840286, 0.005688861012458801, 0.006434004288166761, 0.006266717333346605, 0.005660015624016523, 0.006400655955076218]"
1985,7,0.012105358148760506,0.841882751216432,"[0.03978184 0.24943856 0.46278473 0.54010266 0.64805903 0.74510748
 0.91931344 0.75777992 0.70452358 0.491017   0.33926853 0.        ]","[0.10850365 0.15885124 0.29532644 0.41737697 0.6247398  0.6939808
 0.81093323 0.74712163 0.72603905 0.6087009  0.39825538 0.23753363]","[0.18051660060882568, 0.07435840368270874, 0.06521796435117722, 0.060817789286375046, 0.055162571370601654, 0.045869916677474976, 0.02876122295856476, 0.016111884266138077, 0.01137124840170145, 0.010177358984947205, 0.008981947787106037, 0.008363842032849789, 0.007893642410635948, 0.007709458004683256, 0.0075956168584525585, 0.007546868175268173, 0.008021772839128971, 0.007279499899595976, 0.006983504164963961, 0.007083437405526638, 0.007005502935498953, 0.006819507572799921, 0.006772433407604694, 0.006684554275125265, 0.006743485573679209, 0.006547302007675171, 0.0064351800829172134, 0.006609841249883175, 0.006236639805138111, 0.006331871263682842, 0.006419806741178036, 0.006089276634156704, 0.006096715573221445, 0.005975119303911924, 0.005935692228376865, 0.005766895599663258, 0.005833671428263187, 0.005892445333302021, 0.005710696801543236, 0.005779491271823645, 0.005718633532524109, 0.005609320010989904, 0.005624441429972649, 0.005656412802636623, 0.005530497524887323, 0.005508133675903082, 0.005402118433266878, 0.005373973399400711, 0.0052296132780611515, 0.005315564572811127]","[0.07852055132389069, 0.05782598629593849, 0.052824366837739944, 0.04926447197794914, 0.04388830065727234, 0.031513046473264694, 0.017650242894887924, 0.016487417742609978, 0.013178202323615551, 0.01033227052539587, 0.010179799050092697, 0.009642297402024269, 0.009064720012247562, 0.009066072292625904, 0.009564713574945927, 0.009932967834174633, 0.009060262702405453, 0.008705713786184788, 0.009123092517256737, 0.01017946470528841, 0.008419358171522617, 0.008336826227605343, 0.008219961076974869, 0.009129580110311508, 0.008951239287853241, 0.008271669037640095, 0.008286929689347744, 0.009489309974014759, 0.007624529302120209, 0.009320791810750961, 0.008067671209573746, 0.008646312169730663, 0.007977528497576714, 0.00799642875790596, 0.007265618070960045, 0.008123121224343777, 0.00859637837857008, 0.00770712411031127, 0.009119120426476002, 0.007118490990251303, 0.007071369793266058, 0.007493495941162109, 0.007445887196809053, 0.00787475798279047, 0.007241884712129831, 0.007062552031129599, 0.008146144449710846, 0.008249315433204174, 0.007594191003590822, 0.006985238287597895]"
1986,5,0.00788288024061492,0.8881710605606539,"[0.05503394 0.25523617 0.4479272  0.54581347 0.63830709 0.76426405
 0.92142135 0.74447494 0.69550773 0.4971833  0.33265925 0.06326737]","[0.14774513 0.22782923 0.34883812 0.46904415 0.6558534  0.6837281
 0.80874044 0.7430496  0.699556   0.6065953  0.38748127 0.25048417]","[0.14935317635536194, 0.06414741277694702, 0.059399377554655075, 0.05325816944241524, 0.04258076846599579, 0.021053792908787727, 0.0126868961378932, 0.009841802529990673, 0.00792925339192152, 0.007875379174947739, 0.007226073183119297, 0.006732033099979162, 0.006479399744421244, 0.006313669960945845, 0.006348155904561281, 0.006308185402303934, 0.0066319918259978294, 0.005916910246014595, 0.005759651772677898, 0.005802992265671492, 0.0057210735976696014, 0.005571440793573856, 0.005508556496351957, 0.005433105397969484, 0.005663495045155287, 0.005290383938699961, 0.005110901314765215, 0.0051161483861505985, 0.004994223825633526, 0.005144051276147366, 0.004951703827828169, 0.004829260520637035, 0.0048101129941642284, 0.004838394932448864, 0.00476096011698246, 0.004629626404494047, 0.004541362170130014, 0.004554744344204664, 0.004478114191442728, 0.004755354020744562, 0.004465670324862003, 0.004332650452852249, 0.004405651241540909, 0.004591452423483133, 0.004305449780076742, 0.004182673990726471, 0.004155203700065613, 0.004148275591433048, 0.004128233529627323, 0.0040897647850215435]","[0.0600639283657074, 0.05293441191315651, 0.050149451941251755, 0.04079040512442589, 0.02752673625946045, 0.015458141453564167, 0.013700137846171856, 0.010118051432073116, 0.009326578117907047, 0.008108251728117466, 0.008642707951366901, 0.008327859453856945, 0.008498412556946278, 0.007832836359739304, 0.008530031889677048, 0.009141421876847744, 0.008363312110304832, 0.0072142742574214935, 0.007818017154932022, 0.007665021810680628, 0.007484355941414833, 0.007022291421890259, 0.0068341088481247425, 0.008628910407423973, 0.00836771260946989, 0.006694018840789795, 0.006452926900237799, 0.008283509872853756, 0.00676555885002017, 0.008188944309949875, 0.006421804893761873, 0.007347494829446077, 0.006244955118745565, 0.006009794771671295, 0.006102988496422768, 0.006742251571267843, 0.0068523152731359005, 0.006132269743829966, 0.006309082265943289, 0.005606796592473984, 0.0065388972871005535, 0.006006899755448103, 0.006434017792344093, 0.006014764774590731, 0.006179132033139467, 0.006249940022826195, 0.006374053657054901, 0.006364479195326567, 0.006465895567089319, 0.006149202585220337]"
2027,4,0.00404870305341964,0.943522317248354,"[0.09081291 0.27878681 0.43995768 0.54376066 0.70216893 0.80409099
 0.90513137 0.7513666  0.72932463 0.55281256 0.23241051 0.10968083]","[0.12822255 0.23034865 0.40858743 0.5921522  0.7182742  0.7597046
 0.8389524  0.8378813  0.7805945  0.62757385 0.3572257  0.16986558]","[0.15339556336402893, 0.06913825124502182, 0.059746213257312775, 0.04278099909424782, 0.019555578008294106, 0.012938893400132656, 0.012004402466118336, 0.010691361501812935, 0.009861941449344158, 0.010382288135588169, 0.00903963390737772, 0.008865809068083763, 0.008672553114593029, 0.008514289744198322, 0.008328363299369812, 0.00795824732631445, 0.008088781498372555, 0.0075164553709328175, 0.007352642249315977, 0.007410148158669472, 0.007160446140915155, 0.007395490072667599, 0.0073424410074949265, 0.006682912353426218, 0.006685891188681126, 0.006648998707532883, 0.006768485531210899, 0.006307789124548435, 0.006180604454129934, 0.006155463866889477, 0.005710539873689413, 0.005762092769145966, 0.005641607567667961, 0.005328425671905279, 0.0053071388974785805, 0.005387912038713694, 0.005160848144441843, 0.005174119491130114, 0.005032173357903957, 0.005041984375566244, 0.00483053969219327, 0.0046509504318237305, 0.0045820605009794235, 0.004603530280292034, 0.004643832333385944, 0.0044791484251618385, 0.004405655898153782, 0.004355431068688631, 0.004303611349314451, 0.004372097086161375]","[0.06084541603922844, 0.04789555072784424, 0.041621509939432144, 0.017047053202986717, 0.009737038053572178, 0.01737193390727043, 0.00689894100651145, 0.008529913611710072, 0.008515971712768078, 0.005761001259088516, 0.008459377102553844, 0.005706158932298422, 0.006724982056766748, 0.005758496467024088, 0.005603206809610128, 0.006583703216165304, 0.0054708789102733135, 0.005126670468598604, 0.0051707117818295956, 0.0052826907485723495, 0.004877486731857061, 0.005861213430762291, 0.004839787725359201, 0.004686195868998766, 0.004859765991568565, 0.004367864690721035, 0.004957180004566908, 0.004363490734249353, 0.005443196278065443, 0.004478616639971733, 0.00461910106241703, 0.003983813803642988, 0.003851947607472539, 0.003954860847443342, 0.0037705006543546915, 0.004278562497347593, 0.0035993270576000214, 0.003625527722761035, 0.003875094698742032, 0.004063113126903772, 0.0041081709787249565, 0.003649040125310421, 0.003768863854929805, 0.0037143335212022066, 0.0031975817400962114, 0.004008237272500992, 0.003897696966305375, 0.00450874725356698, 0.0038546465802937746, 0.003345777513459325]"
2028,8,0.003264038011225056,0.9487093653073454,"[0.10920285 0.30362929 0.45252754 0.54995679 0.71208684 0.78094621
 0.88901491 0.73703824 0.73476993 0.57274789 0.27090084 0.14128321]","[0.1960261  0.2743187  0.396389   0.57067335 0.718766   0.78062946
 0.8785905  0.8179977  0.7301841  0.6031806  0.36558887 0.2440915 ]","[0.22559718787670135, 0.08286494016647339, 0.06713806092739105, 0.06243019923567772, 0.05891256406903267, 0.05449272319674492, 0.04706638306379318, 0.03166019544005394, 0.018328513950109482, 0.013143535703420639, 0.01076001487672329, 0.009909144602715969, 0.009109502658247948, 0.009829155169427395, 0.008886897936463356, 0.008289014920592308, 0.008251536637544632, 0.008038903586566448, 0.007554385345429182, 0.007602118421345949, 0.0073415907099843025, 0.007321361918002367, 0.007249932270497084, 0.00699621019884944, 0.006788622122257948, 0.0068403673358261585, 0.006974378600716591, 0.006509773433208466, 0.00654570572078228, 0.006422874052077532, 0.006285915616899729, 0.0059984903782606125, 0.005859087686985731, 0.00577456085011363, 0.005922159180045128, 0.005717060063034296, 0.005592091009020805, 0.005469110328704119, 0.005657676141709089, 0.0060043055564165115, 0.005690672434866428, 0.005575813353061676, 0.005606664344668388, 0.0053571308963000774, 0.005383023526519537, 0.004948916379362345, 0.00493272440508008, 0.0048920754343271255, 0.004747570957988501, 0.004712276626378298]","[0.09948399662971497, 0.04928920045495033, 0.047011300921440125, 0.04465392231941223, 0.04060061648488045, 0.037241380661726, 0.025997737422585487, 0.013807875104248524, 0.012892085127532482, 0.007185927126556635, 0.01620762050151825, 0.0072575039230287075, 0.009870621375739574, 0.007167530711740255, 0.0065120854414999485, 0.0054235258139669895, 0.005445461720228195, 0.005157663952559233, 0.0049712820909917355, 0.005350831896066666, 0.005154329352080822, 0.005283542443066835, 0.005257738288491964, 0.004696992691606283, 0.004942331463098526, 0.005120082292705774, 0.005147956777364016, 0.005262643098831177, 0.004834536463022232, 0.005775230471044779, 0.004205204080790281, 0.004086870234459639, 0.004076886922121048, 0.004067762289196253, 0.0037085667718201876, 0.004074490163475275, 0.004180505406111479, 0.003969461191445589, 0.0038140269462019205, 0.0043654958717525005, 0.003975421655923128, 0.004150561522692442, 0.003862271783873439, 0.0037695567589253187, 0.0037918221205472946, 0.0036532904487103224, 0.0035340965259820223, 0.0036071825306862593, 0.003681652946397662, 0.0033804376143962145]"
2029,3,0.0021718799466651706,0.9657478454544247,"[0.11557627 0.29271821 0.43240637 0.48020147 0.66709532 0.75116541
 0.89631892 0.76177463 0.7339656  0.54878637 0.28837807 0.11621926]","[0.14721105 0.25867617 0.44936427 0.58298707 0.6908678  0.7480074
 0.84818244 0.83355844 0.7295541  0.58938843 0.32333487 0.16221257]","[0.12652821838855743, 0.06044755131006241, 0.052924640476703644, 0.03992340713739395, 0.016248183324933052, 0.011669237166643143, 0.010376705788075924, 0.009911512024700642, 0.008355626836419106, 0.009220865555107594, 0.008244405500590801, 0.007559852674603462, 0.00736919604241848, 0.007135992404073477, 0.00695381872355938, 0.006637251004576683, 0.006578550208359957, 0.006408930290490389, 0.006136236246675253, 0.0062971413135528564, 0.005899414885789156, 0.005817027762532234, 0.005953603889793158, 0.005468849092721939, 0.00543001526966691, 0.005631309933960438, 0.0053218333050608635, 0.005188513081520796, 0.0053575895726680756, 0.005075330846011639, 0.004888143390417099, 0.004970714449882507, 0.004884787835180759, 0.00466488441452384, 0.004814968444406986, 0.004777456168085337, 0.004448803141713142, 0.00456238491460681, 0.004489505663514137, 0.004550053272396326, 0.004513840191066265, 0.004281323868781328, 0.00446502398699522, 0.004693722352385521, 0.004494308028370142, 0.004345126915723085, 0.0041868179105222225, 0.004245065152645111, 0.00426358450204134, 0.004251920152455568]","[0.0488867312669754, 0.04049862548708916, 0.04471100494265556, 0.01288867462426424, 0.008909960277378559, 0.007922266609966755, 0.0048970007337629795, 0.00646064430475235, 0.005423700902611017, 0.004356445278972387, 0.004900505766272545, 0.004061795771121979, 0.004101527389138937, 0.004179843235760927, 0.003901389194652438, 0.0041642687283456326, 0.004321340937167406, 0.0039401575922966, 0.004486255347728729, 0.00420410418882966, 0.003925820346921682, 0.004270609002560377, 0.0035960848908871412, 0.0038043793756514788, 0.005294714123010635, 0.0033278607297688723, 0.003642546944320202, 0.0033481342252343893, 0.003662919858470559, 0.0037276616785675287, 0.0042662001214921474, 0.003444222966209054, 0.0037494597490876913, 0.0034548866096884012, 0.003474455326795578, 0.003700939239934087, 0.0038548687007278204, 0.003410639241337776, 0.0038476393092423677, 0.003967946395277977, 0.003921210765838623, 0.0035428062546998262, 0.003626398043707013, 0.003543757600709796, 0.0035663393791764975, 0.0036879258695989847, 0.004021724686026573, 0.003638423979282379, 0.0036782119423151016, 0.00381447933614254]"
