cell,batchsize,mse,nse,y_test,yhat,train_loss,test_loss
1941,15,0.09071236461838757,-0.10674499347848809,"[0.16518415 0.29873925 0.83641476 0.85927737 0.90377123 0.05895758
 0.36302654 0.64871719 0.09709255 0.28131662 0.42170845 0.50656105]","[0.43143392 0.49152687 0.45030534 0.4670733  0.35127476 0.33322495
 0.3633132  0.28471035 0.24643302 0.28537214 0.24131821 0.17527238]","[0.09005948156118393, 0.05743613839149475, 0.03860706463456154, 0.029474763199687004, 0.028819872066378593, 0.028271039947867393, 0.028106598183512688, 0.02797895111143589, 0.027834506705403328, 0.02771448716521263, 0.02763551101088524, 0.02756022848188877, 0.027493679895997047, 0.027432560920715332, 0.027374625205993652, 0.027318796142935753, 0.027261750772595406, 0.02720443718135357, 0.027147457003593445, 0.027095166966319084, 0.02704412303864956, 0.026992440223693848, 0.02694217674434185, 0.026897458359599113, 0.02684917114675045, 0.026804570108652115, 0.026760205626487732, 0.02670200914144516, 0.026646394282579422, 0.026589559391140938, 0.026526950299739838, 0.026474788784980774, 0.02640789933502674, 0.026347558945417404, 0.026273418217897415, 0.026204736903309822, 0.026127034798264503, 0.026051802560687065, 0.025969337671995163, 0.0258751530200243, 0.025761332362890244, 0.025508562102913857, 0.02555828168988228, 0.0265737846493721, 0.02587965689599514, 0.025579772889614105, 0.0253407284617424, 0.025008203461766243, 0.024755744263529778, 0.025548124685883522]","[0.20393437147140503, 0.1417907327413559, 0.10574132204055786, 0.09823816269636154, 0.09706354886293411, 0.09721237421035767, 0.09687429666519165, 0.09658537060022354, 0.09633171558380127, 0.09607449918985367, 0.09581836313009262, 0.09582638740539551, 0.09556329250335693, 0.09544775635004044, 0.0951666459441185, 0.09495558589696884, 0.09493925422430038, 0.0948256254196167, 0.09455403685569763, 0.09428945928812027, 0.09425133466720581, 0.09385205060243607, 0.09349807351827621, 0.09311789274215698, 0.09273585677146912, 0.09216801077127457, 0.09169461578130722, 0.09140986949205399, 0.09110748022794724, 0.09092029184103012, 0.09057310968637466, 0.09014443308115005, 0.09000549465417862, 0.08958550542593002, 0.08934871107339859, 0.08899082988500595, 0.08886280655860901, 0.08885407447814941, 0.08920183777809143, 0.08900877088308334, 0.08885139226913452, 0.08564231544733047, 0.09844738990068436, 0.08916334062814713, 0.08634563535451889, 0.08323853462934494, 0.08266524225473404, 0.08512529730796814, 0.08519527316093445, 0.07620842754840851]"
1942,7,0.07782421764866905,-0.1288291833849673,"[0.18503154 0.33400789 0.70633074 0.68115282 1.         0.08268407
 0.33628453 0.62140376 0.10288711 0.30845897 0.35378934 0.44109413]","[0.39012685 0.4277687  0.46475846 0.40168867 0.3734217  0.36522022
 0.33516842 0.24447367 0.2419009  0.1732718  0.18081363 0.18702236]","[0.06163938716053963, 0.027866190299391747, 0.024167153984308243, 0.023689983412623405, 0.023452766239643097, 0.023289652541279793, 0.02316252328455448, 0.02304914966225624, 0.022954177111387253, 0.022869078442454338, 0.022793438285589218, 0.022722434252500534, 0.022659262642264366, 0.022600606083869934, 0.02253842167556286, 0.022487668320536613, 0.022426119074225426, 0.022370116785168648, 0.022292818874120712, 0.02221236377954483, 0.02213042601943016, 0.02204601839184761, 0.021918756887316704, 0.02184690535068512, 0.021737990900874138, 0.02153126150369644, 0.021424997597932816, 0.021583037450909615, 0.021145273000001907, 0.020964056253433228, 0.02097141370177269, 0.020849915221333504, 0.020571885630488396, 0.020516211166977882, 0.020416466519236565, 0.02036718651652336, 0.02028197981417179, 0.02021786943078041, 0.020167117938399315, 0.02013438008725643, 0.019994834437966347, 0.01992955058813095, 0.01984093151986599, 0.019796887412667274, 0.019715407863259315, 0.019725073128938675, 0.019850172102451324, 0.019594652578234673, 0.019616585224866867, 0.019452204927802086]","[0.10884321480989456, 0.07948295027017593, 0.07843867689371109, 0.0775582566857338, 0.07715602964162827, 0.0769767239689827, 0.07652775198221207, 0.07605286687612534, 0.07568485289812088, 0.07573386281728745, 0.07541820406913757, 0.07506800442934036, 0.07487577199935913, 0.07446929067373276, 0.07441160082817078, 0.07397568970918655, 0.07348798960447311, 0.07353505492210388, 0.07299374788999557, 0.07264889776706696, 0.07199417799711227, 0.07051240652799606, 0.07087190449237823, 0.06871232390403748, 0.07011325657367706, 0.06848268955945969, 0.06855154782533646, 0.06951043009757996, 0.06673488765954971, 0.06554936617612839, 0.06555909663438797, 0.06306817382574081, 0.0645061805844307, 0.06357032805681229, 0.06320563703775406, 0.06274815648794174, 0.0628013163805008, 0.062183987349271774, 0.061885952949523926, 0.06127561628818512, 0.06210743263363838, 0.06185032054781914, 0.062020450830459595, 0.060699980705976486, 0.062056928873062134, 0.06237678602337837, 0.059743594378232956, 0.059936899691820145, 0.060763079673051834, 0.061637114733457565]"
1943,9,0.05346902697104267,0.07538414198359322,"[0.12943308 0.43538601 0.65282264 0.61648635 0.71387308 0.09034508
 0.08468783 0.68233947 0.03628502 0.31624195 0.37657454 0.33263259]","[0.3277317  0.37419558 0.38084742 0.33615875 0.36703035 0.29986867
 0.3493495  0.32394812 0.2890773  0.28607917 0.24761747 0.28934535]","[0.07432401925325394, 0.03885412588715553, 0.027149775996804237, 0.025436175987124443, 0.025151001289486885, 0.02493923529982567, 0.024780327454209328, 0.02464684285223484, 0.024533605203032494, 0.02442827634513378, 0.024338364601135254, 0.02424764633178711, 0.024169187992811203, 0.024097993969917297, 0.02403467893600464, 0.023973524570465088, 0.02391398698091507, 0.023859236389398575, 0.023808632045984268, 0.023758061230182648, 0.0237088892608881, 0.02365553379058838, 0.023602798581123352, 0.023540331050753593, 0.023525986820459366, 0.023419400677084923, 0.02338002435863018, 0.023302769288420677, 0.023265717551112175, 0.023170743137598038, 0.023126525804400444, 0.023049162700772285, 0.02298770099878311, 0.022889312356710434, 0.022811617702245712, 0.02271898463368416, 0.022657744586467743, 0.022557983174920082, 0.02242732234299183, 0.02232743799686432, 0.022172842174768448, 0.022037314251065254, 0.02192826382815838, 0.021818842738866806, 0.02194982022047043, 0.02180439606308937, 0.021723194047808647, 0.02164926938712597, 0.021453965455293655, 0.021427452564239502]","[0.10642736405134201, 0.0650845542550087, 0.056934159249067307, 0.05651620402932167, 0.055958181619644165, 0.05556809902191162, 0.0552213080227375, 0.05493373051285744, 0.05464252829551697, 0.054359953850507736, 0.05416654050350189, 0.05396900698542595, 0.05375838279724121, 0.05358325317502022, 0.05341396853327751, 0.05327214300632477, 0.05311990901827812, 0.05304241180419922, 0.05296583101153374, 0.052846360951662064, 0.05276018753647804, 0.05257607623934746, 0.052423346787691116, 0.052388038486242294, 0.05186649039387703, 0.05183614417910576, 0.05159406736493111, 0.05157927796244621, 0.051105987280607224, 0.051001328974962234, 0.05078768730163574, 0.05055125430226326, 0.05030575394630432, 0.05003078281879425, 0.049736928194761276, 0.04948096349835396, 0.04937823489308357, 0.04909868165850639, 0.04922105744481087, 0.04844491556286812, 0.048298899084329605, 0.04799285903573036, 0.04783334210515022, 0.04761331155896187, 0.04768109321594238, 0.048004522919654846, 0.04713292792439461, 0.0471411757171154, 0.046143144369125366, 0.0462033636868]"
1984,3,0.06810148599647536,0.05724144587265012,"[0.25104298 0.44467409 0.44517166 0.90986336 1.         0.61101542
 0.36781873 0.24568454 0.08163968 0.33457726 0.28514563 0.19093275]","[0.27042288 0.26071525 0.2811146  0.3501945  0.4168569  0.38910955
 0.37810916 0.32152337 0.21010871 0.19320053 0.17951149 0.19812456]","[0.06189240515232086, 0.03147812932729721, 0.030988769605755806, 0.030621590092778206, 0.03031136654317379, 0.02998245321214199, 0.029805002734065056, 0.029528344050049782, 0.029330750927329063, 0.029088173061609268, 0.02890116162598133, 0.028706522658467293, 0.02854957990348339, 0.028410404920578003, 0.02827470190823078, 0.028141144663095474, 0.028026605024933815, 0.027912579476833344, 0.0278058722615242, 0.027698297053575516, 0.027583934366703033, 0.02747940644621849, 0.02738676592707634, 0.027262113988399506, 0.0271498691290617, 0.02702155150473118, 0.02689189836382866, 0.02677358314394951, 0.026644866913557053, 0.026512984186410904, 0.026356291025877, 0.026199188083410263, 0.026038547977805138, 0.02588924765586853, 0.025747546926140785, 0.025606373324990273, 0.02546439692378044, 0.025267448276281357, 0.025114821270108223, 0.024936622008681297, 0.024777043610811234, 0.02460555173456669, 0.024419112130999565, 0.024223586544394493, 0.02400965802371502, 0.02382892370223999, 0.023630427196621895, 0.023501776158809662, 0.023296047002077103, 0.023153631016612053]","[0.11494206637144089, 0.11528979986906052, 0.11526253074407578, 0.11447509378194809, 0.11364934593439102, 0.11339447647333145, 0.11270040273666382, 0.1123134195804596, 0.11199720948934555, 0.11155376583337784, 0.11108849197626114, 0.11066875606775284, 0.1103314533829689, 0.11004838347434998, 0.10969983786344528, 0.10945834964513779, 0.1092141643166542, 0.10890199989080429, 0.10857034474611282, 0.10804039239883423, 0.10791314393281937, 0.10738452523946762, 0.10676965862512589, 0.10611554235219955, 0.1050821915268898, 0.10380294919013977, 0.1031419038772583, 0.1025550588965416, 0.10147449374198914, 0.10034238547086716, 0.09968524426221848, 0.09886793047189713, 0.09894305467605591, 0.0984036922454834, 0.09805851429700851, 0.09723498672246933, 0.09587528556585312, 0.09531441330909729, 0.09446319192647934, 0.09402350336313248, 0.09275541454553604, 0.09252095222473145, 0.09175240248441696, 0.09080740064382553, 0.09089545160531998, 0.09070712327957153, 0.08961697667837143, 0.08973311632871628, 0.09027714282274246, 0.09039480239152908]"
1985,5,0.03969555120064759,-0.06191996240096209,"[0.2170975  0.39135129 0.53217777 0.79411824 0.62440273 0.45468722
 0.30820288 0.48497571 0.05795798 0.3160399  0.34602851 0.18329035]","[0.27316472 0.19061172 0.23056194 0.3628398  0.39409855 0.4048002
 0.36335522 0.2706524  0.22962701 0.23140709 0.235929   0.23499763]","[0.0826757624745369, 0.03707705810666084, 0.03373591601848602, 0.03327001631259918, 0.03287986293435097, 0.032573699951171875, 0.03234376385807991, 0.03207285702228546, 0.03185942769050598, 0.031634554266929626, 0.03143775090575218, 0.03123934380710125, 0.031068788841366768, 0.0309042576700449, 0.0307544507086277, 0.030613014474511147, 0.03048110567033291, 0.030361097306013107, 0.030244888737797737, 0.030138365924358368, 0.03003125824034214, 0.02992044948041439, 0.02981458231806755, 0.029714500531554222, 0.029610048979520798, 0.029502954334020615, 0.029390251263976097, 0.029270922765135765, 0.029134325683116913, 0.028972124680876732, 0.028794407844543457, 0.028591657057404518, 0.028396189212799072, 0.02818114496767521, 0.027978532016277313, 0.027783947065472603, 0.027578437700867653, 0.02739587053656578, 0.027232468128204346, 0.02708277851343155, 0.02692379802465439, 0.026764612644910812, 0.026592472568154335, 0.026432452723383904, 0.026270980015397072, 0.026107219979166985, 0.025942476466298103, 0.025745823979377747, 0.025561759248375893, 0.02538856863975525]","[0.11954134702682495, 0.09485027939081192, 0.09270214289426804, 0.09269213676452637, 0.0922463908791542, 0.09276623278856277, 0.09229650348424911, 0.09257978945970535, 0.0926203727722168, 0.09276765584945679, 0.09283813089132309, 0.093058742582798, 0.09328899532556534, 0.09343161433935165, 0.09359285980463028, 0.09374181181192398, 0.09388726949691772, 0.09402052313089371, 0.09409751743078232, 0.09423992782831192, 0.09424678236246109, 0.09445623308420181, 0.09449541568756104, 0.0945674404501915, 0.09466192871332169, 0.09464263170957565, 0.09469958394765854, 0.09480750560760498, 0.09500237554311752, 0.09513061493635178, 0.09513125568628311, 0.09522747248411179, 0.0952591672539711, 0.09500839561223984, 0.09474030882120132, 0.09422536939382553, 0.09369727224111557, 0.09313112497329712, 0.09248683601617813, 0.09196273237466812, 0.0912381038069725, 0.09055459499359131, 0.0899646058678627, 0.08931523561477661, 0.0888257697224617, 0.08824613690376282, 0.08760545402765274, 0.08684653043746948, 0.08606094866991043, 0.08541183918714523]"
1986,13,0.04073334686673006,-0.02751872823546342,"[0.21268477 0.30904864 0.683144   0.78520988 0.55074784 0.3162858
 0.43780429 0.5049125  0.05612088 0.30639502 0.38087197 0.21454888]","[0.30435595 0.23943548 0.31943884 0.35047656 0.40038896 0.38046992
 0.36736658 0.28227133 0.2880977  0.24642609 0.25632083 0.22432691]","[0.13016308844089508, 0.08165869116783142, 0.05132155865430832, 0.040912970900535583, 0.03998205438256264, 0.03969890996813774, 0.03922855854034424, 0.038798436522483826, 0.03864583745598793, 0.03853140398859978, 0.03838401287794113, 0.03823278471827507, 0.03809649124741554, 0.03796931356191635, 0.0378446988761425, 0.037723734974861145, 0.037607189267873764, 0.03748667240142822, 0.03736929967999458, 0.03725489601492882, 0.03714139014482498, 0.03702893853187561, 0.03692474588751793, 0.03682217374444008, 0.03671906888484955, 0.03661724552512169, 0.036515504121780396, 0.036414872854948044, 0.036317046731710434, 0.036215104162693024, 0.03611743450164795, 0.036020662635564804, 0.03593025729060173, 0.035839930176734924, 0.03575192019343376, 0.03566509857773781, 0.03558223694562912, 0.0355050303041935, 0.03542817384004593, 0.035356633365154266, 0.035284824669361115, 0.035219691693782806, 0.035153139382600784, 0.03509123995900154, 0.03503166139125824, 0.03497237712144852, 0.03491482138633728, 0.03485839068889618, 0.034803085029125214, 0.03474893048405647]","[0.19461511075496674, 0.113791324198246, 0.08283603191375732, 0.07764584571123123, 0.074571393430233, 0.07042522728443146, 0.07063734531402588, 0.07207556813955307, 0.07192707806825638, 0.0715794786810875, 0.07154852896928787, 0.07164867967367172, 0.0717078149318695, 0.0717625543475151, 0.07183263450860977, 0.07189102470874786, 0.07194218784570694, 0.07205156236886978, 0.07217012345790863, 0.07228860259056091, 0.07240504771471024, 0.07253190129995346, 0.07264558225870132, 0.07275388389825821, 0.07289447635412216, 0.07301017642021179, 0.0731622725725174, 0.07329817116260529, 0.07344453036785126, 0.0735999196767807, 0.07375980913639069, 0.07390399277210236, 0.07406961172819138, 0.07420673966407776, 0.07433687150478363, 0.07452753931283951, 0.07470444589853287, 0.07485806196928024, 0.07503502815961838, 0.07518061250448227, 0.075346440076828, 0.07546800374984741, 0.07559403777122498, 0.07569711655378342, 0.07581106573343277, 0.07589203864336014, 0.0760028138756752, 0.07610849291086197, 0.07619486004114151, 0.07629462331533432]"
2027,14,0.08729381602557096,-0.20649757585076878,"[0.14151931 0.28892669 0.88993981 0.62316348 1.         0.3036749
 0.13508916 0.43812853 0.22275599 0.23580321 0.51859883 0.45311974]","[0.39021218 0.41040713 0.4029615  0.3574491  0.30802795 0.27177858
 0.20977588 0.20242077 0.20762391 0.22321238 0.24772437 0.23305447]","[0.09953266382217407, 0.06038933992385864, 0.038332246243953705, 0.028958071023225784, 0.027176370844244957, 0.02670593000948429, 0.02645915374159813, 0.026225293055176735, 0.026023605838418007, 0.025867944583296776, 0.025712648406624794, 0.02558080479502678, 0.025452416390180588, 0.025341631844639778, 0.02523859776556492, 0.025137031450867653, 0.025051284581422806, 0.02496076188981533, 0.024873970076441765, 0.024793192744255066, 0.024706043303012848, 0.024618875235319138, 0.024533765390515327, 0.024445753544569016, 0.024346336722373962, 0.02424732595682144, 0.024150637909770012, 0.02405674010515213, 0.02397269569337368, 0.02389882132411003, 0.023792536929249763, 0.02371315099298954, 0.023632347583770752, 0.023558709770441055, 0.023486416786909103, 0.023424290120601654, 0.02337551862001419, 0.023339346051216125, 0.023268623277544975, 0.023226723074913025, 0.02316647209227085, 0.023106876760721207, 0.02306162565946579, 0.023015610873699188, 0.02296648919582367, 0.0228878203779459, 0.02282802388072014, 0.02281411550939083, 0.022772282361984253, 0.02268042415380478]","[0.1710200309753418, 0.1128724217414856, 0.08715695887804031, 0.07962315529584885, 0.07979618012905121, 0.07822751253843307, 0.07726678252220154, 0.0771656483411789, 0.07678314298391342, 0.0765262246131897, 0.07617133110761642, 0.07580538839101791, 0.07538501173257828, 0.07491085678339005, 0.07452358305454254, 0.07429073005914688, 0.07405651360750198, 0.07370761036872864, 0.07340618968009949, 0.07317452877759933, 0.07291679829359055, 0.07277549058198929, 0.07265547662973404, 0.07245144248008728, 0.0723203793168068, 0.07215284556150436, 0.07192527502775192, 0.07168939709663391, 0.07149866223335266, 0.07087919861078262, 0.07086843997240067, 0.0708206370472908, 0.07025421410799026, 0.07052785158157349, 0.07018829137086868, 0.06990403681993484, 0.0696420893073082, 0.07010490447282791, 0.06953918188810349, 0.06982406228780746, 0.06961936503648758, 0.06943944096565247, 0.06904739141464233, 0.06901811808347702, 0.06904817372560501, 0.0686802864074707, 0.06836365908384323, 0.06826845556497574, 0.06879622489213943, 0.06929471343755722]"
2028,4,0.10071219425119927,-0.4342160168602842,"[0.20884714 0.42690753 0.96952385 0.78580194 1.         0.3467643
 0.24437247 0.5116775  0.2403291  0.30468106 0.5580455  0.44837159]","[0.35684446 0.35392582 0.35253957 0.32834402 0.37160408 0.3101668
 0.27699885 0.2950366  0.25248963 0.2256071  0.2260067  0.27369887]","[0.07707175612449646, 0.033355966210365295, 0.03162805736064911, 0.031184054911136627, 0.030846701934933662, 0.030582020059227943, 0.030345119535923004, 0.03014220856130123, 0.0299603920429945, 0.029796678572893143, 0.029628729447722435, 0.02948600798845291, 0.029385922476649284, 0.029213860630989075, 0.029091304168105125, 0.028980126604437828, 0.02886764332652092, 0.028748953714966774, 0.0286570955067873, 0.028565647080540657, 0.028481537476181984, 0.02840041182935238, 0.02832040563225746, 0.0282664205878973, 0.028177259489893913, 0.028125975281000137, 0.028046345338225365, 0.027974694967269897, 0.02791724167764187, 0.027850229293107986, 0.027775002643465996, 0.02771657332777977, 0.02763212099671364, 0.0275639146566391, 0.027483975514769554, 0.027401819825172424, 0.027329890057444572, 0.027240876108407974, 0.027180518954992294, 0.027112701907753944, 0.02703210525214672, 0.02693839557468891, 0.026847822591662407, 0.026763098314404488, 0.026659728959202766, 0.026509905233979225, 0.0264526829123497, 0.02639155276119709, 0.026148736476898193, 0.026062866672873497]","[0.10828936100006104, 0.09659495949745178, 0.09483989328145981, 0.09352334588766098, 0.09262583404779434, 0.09177509695291519, 0.09098698943853378, 0.0901884064078331, 0.08953418582677841, 0.08902087062597275, 0.08813843876123428, 0.08712407201528549, 0.08735720068216324, 0.08638942986726761, 0.0859387218952179, 0.08553335070610046, 0.08523839712142944, 0.08510112762451172, 0.0848325714468956, 0.08455558866262436, 0.08430061489343643, 0.08410968631505966, 0.08389163017272949, 0.08362168073654175, 0.08346724510192871, 0.08284889906644821, 0.08275780081748962, 0.08263788372278214, 0.08215019851922989, 0.08201253414154053, 0.0817873477935791, 0.08137773722410202, 0.08073779195547104, 0.08024492114782333, 0.07989875227212906, 0.07943002134561539, 0.07905089110136032, 0.07904060930013657, 0.07836022973060608, 0.07771197706460953, 0.07729046791791916, 0.07724376767873764, 0.07679541409015656, 0.07691844552755356, 0.07684433460235596, 0.07808229327201843, 0.07788212597370148, 0.0787910521030426, 0.0803888589143753, 0.08045344799757004]"
2029,9,0.07906519729465301,-0.025569496220708476,"[0.20687283 0.57884286 0.89270057 0.90852616 0.86673089 0.3861246
 0.19922543 0.19594236 0.10480272 0.35109206 0.53926907 0.38071834]","[0.39440385 0.3927496  0.39353496 0.39186862 0.3804566  0.3258544
 0.28461835 0.28961426 0.27550474 0.2601997  0.28782204 0.30264983]","[0.10163279622793198, 0.047316160053014755, 0.03018859215080738, 0.028813829645514488, 0.028597276657819748, 0.028365356847643852, 0.028198035433888435, 0.02804034762084484, 0.027903888374567032, 0.027783537283539772, 0.02765900082886219, 0.0275469571352005, 0.02743583172559738, 0.027313148602843285, 0.027193620800971985, 0.027070151641964912, 0.026935158297419548, 0.02680269628763199, 0.02665829099714756, 0.026506338268518448, 0.02634984254837036, 0.026200031861662865, 0.02603437751531601, 0.025883439928293228, 0.025761133059859276, 0.02564891055226326, 0.02556275576353073, 0.025498177856206894, 0.025476578623056412, 0.025441791862249374, 0.025398315861821175, 0.025364307686686516, 0.025355415418744087, 0.02523542009294033, 0.02529054321348667, 0.02513326145708561, 0.024937590584158897, 0.024981152266263962, 0.02498750202357769, 0.024828419089317322, 0.02481437288224697, 0.024764569476246834, 0.024739939719438553, 0.024666529148817062, 0.024551860988140106, 0.024465961381793022, 0.024367645382881165, 0.024294400587677956, 0.024269558489322662, 0.024201761931180954]","[0.1748240739107132, 0.10713706165552139, 0.10126306861639023, 0.0999218299984932, 0.09915896505117416, 0.09800449013710022, 0.0972176194190979, 0.09644690155982971, 0.09559712558984756, 0.09482589364051819, 0.09397894144058228, 0.09309843182563782, 0.09246253967285156, 0.09183315187692642, 0.09143517166376114, 0.09095370024442673, 0.090628482401371, 0.09048917144536972, 0.0902295708656311, 0.08950593322515488, 0.08802097290754318, 0.08658542484045029, 0.08628008514642715, 0.08502332121133804, 0.08334726840257645, 0.08280988782644272, 0.08244985342025757, 0.08074457198381424, 0.07974562048912048, 0.07801154255867004, 0.07685849815607071, 0.0761902704834938, 0.07605518400669098, 0.07772988080978394, 0.07864996045827866, 0.07592500001192093, 0.07641160488128662, 0.0759337916970253, 0.07364818453788757, 0.07565245032310486, 0.07533984631299973, 0.07509546726942062, 0.07430321723222733, 0.07380460947751999, 0.07391825318336487, 0.07336435467004776, 0.07293380051851273, 0.07255670428276062, 0.0719064474105835, 0.07155442237854004]"
