cell,predictions,config,mse,nse
14,"2022-01-01    3657.5
2022-02-01    3237.0
2022-03-01    3095.5
2022-04-01    2864.5
2022-05-01    2876.5
2022-06-01    3241.5
2022-07-01    4769.0
2022-08-01    5843.5
2022-09-01    5474.0
2022-10-01    4585.0
2022-11-01    4316.0
2022-12-01    3832.5
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (0, 1, 0, 12), 'n']",35458.04167,0.966980008
15,"2022-01-01    2104.353331
2022-02-01    2039.229022
2022-03-01    2055.127073
2022-04-01    2096.047484
2022-05-01    2156.990255
2022-06-01    2299.955385
2022-07-01    3355.442876
2022-08-01    5667.452726
2022-09-01    4417.484937
2022-10-01    3363.039507
2022-11-01    2614.616437
2022-12-01    2519.215727
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (0, 1, 0, 12), 'ct']",107777.7286,0.937651472
16,"2022-01-01    2074.693194
2022-02-01    1969.401820
2022-03-01    1999.125879
2022-04-01    2056.865370
2022-05-01    2104.620293
2022-06-01    2228.890649
2022-07-01    3387.676437
2022-08-01    5244.477658
2022-09-01    4173.294311
2022-10-01    3223.626396
2022-11-01    2699.473914
2022-12-01    2417.836864
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (0, 1, 0, 12), 'ct']",94438.34452,0.931966277
17,"2022-01-01    1961.04333
2022-02-01    1872.04333
2022-03-01    1943.04333
2022-04-01    2034.54333
2022-05-01    2015.54333
2022-06-01    2152.54333
2022-07-01    3167.04333
2022-08-01    4860.04333
2022-09-01    3800.04333
2022-10-01    2928.54333
2022-11-01    2556.54333
2022-12-01    2344.54333
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 0, 12), 'n']",75115.58915,0.931748815
18,"2022-01-01    1762.181058
2022-02-01    1553.997043
2022-03-01    1595.673173
2022-04-01    1666.718434
2022-05-01    1639.300763
2022-06-01    1824.083177
2022-07-01    2408.935415
2022-08-01    3812.810836
2022-09-01    3002.445063
2022-10-01    2397.710232
2022-11-01    2216.044502
2022-12-01    1942.417966
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 0, 12), 'ct']",88858.7395,0.870415445
19,"2022-01-01    1479.769315
2022-02-01    1186.896156
2022-03-01    1164.682613
2022-04-01    1199.701743
2022-05-01    1232.556642
2022-06-01    1270.717756
2022-07-01    1550.586945
2022-08-01    2026.352504
2022-09-01    2013.848037
2022-10-01    1750.510851
2022-11-01    1979.430553
2022-12-01    1537.911591
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (2, 1, 2, 12), 'ct']",19257.35343,0.902150108
20,"2022-01-01    1201.605150
2022-02-01    1007.201357
2022-03-01     983.009414
2022-04-01     991.511602
2022-05-01     988.736749
2022-06-01    1010.621946
2022-07-01    1176.657236
2022-08-01    1418.078400
2022-09-01    1391.252955
2022-10-01    1356.942679
2022-11-01    1494.865972
2022-12-01    1245.739798
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 1), (1, 0, 2, 12), 't']",21571.40714,0.788492673
21,"2022-01-01    1346.226833
2022-02-01    1137.321899
2022-03-01    1116.667141
2022-04-01    1166.634273
2022-05-01    1201.924388
2022-06-01    1224.704820
2022-07-01    1465.875188
2022-08-01    1784.685460
2022-09-01    1805.234376
2022-10-01    1712.512522
2022-11-01    1763.629595
2022-12-01    1470.167664
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (2, 1, 2, 12), 'ct']",25809.03047,0.833716397
22,"2022-01-01    1227.515222
2022-02-01    1234.906428
2022-03-01    1238.477991
2022-04-01    1255.764130
2022-05-01    1320.623394
2022-06-01    1323.854510
2022-07-01    1543.112457
2022-08-01    1990.813682
2022-09-01    1924.834967
2022-10-01    1665.952965
2022-11-01    1461.537675
2022-12-01    1383.981498
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (2, 1, 2, 12), 't']",6891.199045,0.919189129
23,"2022-01-01    1431.425468
2022-02-01    1375.385955
2022-03-01    1376.588546
2022-04-01    1440.773587
2022-05-01    1503.412544
2022-06-01    1510.297005
2022-07-01    1760.471847
2022-08-01    2159.032233
2022-09-01    2018.747758
2022-10-01    1808.898517
2022-11-01    1614.958340
2022-12-01    1510.058761
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (2, 1, 2, 12), 't']",10005.40144,0.879307185
24,"2022-01-01    1524.291496
2022-02-01    1506.684709
2022-03-01    1549.717292
2022-04-01    1687.115574
2022-05-01    1817.448876
2022-06-01    1870.467005
2022-07-01    2168.961855
2022-08-01    2443.744135
2022-09-01    2341.663314
2022-10-01    2115.299576
2022-11-01    1813.025431
2022-12-01    1649.737315
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (2, 1, 2, 12), 'n']",6045.401185,0.943632236
25,"2022-01-01    1864.751152
2022-02-01    1624.177569
2022-03-01    1663.872499
2022-04-01    1773.233796
2022-05-01    1792.423368
2022-06-01    1832.825980
2022-07-01    2169.207010
2022-08-01    2563.496828
2022-09-01    2389.772035
2022-10-01    2231.767313
2022-11-01    2223.357661
2022-12-01    1782.658024
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (2, 1, 2, 12), 'c']",14099.92498,0.876510864
26,"2022-01-01    1805.869316
2022-02-01    1721.854061
2022-03-01    1790.206866
2022-04-01    1951.462939
2022-05-01    2041.111778
2022-06-01    2058.316538
2022-07-01    2294.112227
2022-08-01    2645.707526
2022-09-01    2610.695885
2022-10-01    2455.228361
2022-11-01    2340.647853
2022-12-01    2047.457802
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 0), (2, 0, 2, 12), 't']",47419.92458,0.773534601
27,"2022-01-01    1725.546203
2022-02-01    1684.457235
2022-03-01    1543.537971
2022-04-01    1519.753049
2022-05-01    1795.797828
2022-06-01    1736.040332
2022-07-01    1894.390927
2022-08-01    2275.996414
2022-09-01    2889.255488
2022-10-01    2343.016450
2022-11-01    2012.021929
2022-12-01    1851.094884
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (1, 0, 2, 12), 'n']",32352.73633,0.847359647
28,"2022-01-01    1630.875287
2022-02-01    1348.395215
2022-03-01    1350.423913
2022-04-01    1421.049894
2022-05-01    1464.806084
2022-06-01    1495.248524
2022-07-01    1683.424555
2022-08-01    1887.791905
2022-09-01    1914.401431
2022-10-01    1960.828399
2022-11-01    2131.397618
2022-12-01    1734.344477
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (1, 0, 1, 12), 'ct']",18606.5516,0.829702309
29,"2022-01-01    1861.980638
2022-02-01    1181.664941
2022-03-01    1183.827053
2022-04-01    1206.023399
2022-05-01    1224.749903
2022-06-01    1216.938979
2022-07-01    1316.734723
2022-08-01    1450.959609
2022-09-01    1501.589124
2022-10-01    1553.301623
2022-11-01    2069.677258
2022-12-01    1295.252942
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 2), (0, 1, 1, 12), 'ct']",14335.13085,0.848814168
30,"2022-01-01    1711.986480
2022-02-01    1477.118679
2022-03-01    1463.862619
2022-04-01    1522.943937
2022-05-01    1574.794727
2022-06-01    1559.038029
2022-07-01    1709.745525
2022-08-01    1902.337791
2022-09-01    1940.866170
2022-10-01    1861.546780
2022-11-01    1720.439516
2022-12-01    1620.802292
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (2, 0, 2, 12), 'n']",3597.5452,0.901045758
